Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,Centre,85000,3,106
Piso,Calle Joan Fuster,370000,3,115
Piso,Calle del Penedès,155000,3,82
Piso,Can Nicolau - Les Sorres - Valparaiso,156000,2,67
Piso,Calle Ernest Vilches,234000,3,109
Chalet,Centre,344000,6,212
Piso,Calle de Pierre Vilar,260000,3,108
Ático,Calle del Romaní,145000,3,88
Piso,Calle del Mestral,342000,3,91
Piso,Clarà,255000,2,90
Piso,Avenida Barcelona,119000,2,85
Piso,Centre,169680,4,138
Chalet,Montsià de Mar,330000,4,133
Chalet,Montsià de Mar,265000,4,142
Chalet,ramon casas,199000,3,475
Chalet,Calle de I'Ebre,185000,3,119
Piso,Barri de la Salut,118000,3,60
Chalet,barrio Nucli Urbà,339000,3,160
Piso,Mestral,198000,4,25
Chalet,Calle Pau Casals,675000,4,60
Chalet,Calle Guilleries s/n,695000,8,310
Chalet,Calle del Corral de Sauner,640000,5,1000
Casa Rural,Calle Doctor Josep Gaspa,495000,5,162
Chalet,del mig 66,495000,4,146
Chalet,Vall d'Aran s/n,490000,5,170
Chalet,Margalló s/n,540000,4,300
Chalet,Bon Recer s/n,750000,5,161
Chalet,Calle Baix Empordà s/n,890000,4,131
Chalet,Calle Marinada 11,880000,5,200
Chalet,Calle Baix Empordà 5,495000,3,100
Duplex,Calle d'Antibes s/n,628000,4,200
Piso,Rambla Nova 33,560000,4,129
Chalet,Cigne s/n,575000,5,193
Casa Rural,Sant Joan 15,425000,3,116
Chalet,Marítima Residencial,186000,3,188
Chalet,Pins,880000,7,1326
Casa Rural,Mas La Sort,1080000,5,8.500
Chalet,barrio Nucli Urbà,342000,4,586
Casa Rural,Plaza de Jaume el Just,2495000,8,377
Chalet,Calle Àries,560000,5,172
Chalet,Calle Major,975000,8,300
Chalet,Pallaresos (Els),595000,6,1.411
Chalet,Creixell,179000,3,117
Chalet,Sant Jordi-Babilonia,219000,3,50
Chalet,Flors s/n,499000,4,431
Piso,Calle Major 23,160000,3,114
Piso,Calle Fra Antoni Cardona i Grau s/n,315000,4,140
Piso,Calle d'Antoni Agustín 1,375000,5,199
Chalet,Avenida des Til Lers,165000,2,63
Piso,Calle de Barcelona 96,335000,5,149
Chalet,Calle de la Mare de Déu del Pilar,330000,4,147
Piso,Rambla Nova,295000,5,176
Chalet,Avenida del Canyadell s/n,430000,5,185
