C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Región de Murcia,Murcia,Piso,barrio San Miguel,154,4,329900
Región de Murcia,Murcia,Piso,868350643,675,460000,barrio Catedral
Región de Murcia,Murcia,Piso,barrio Vista Alegre,29,3,320000
Región de Murcia,Murcia,Chalet,barrio Guadalupe,277,3,369900
Región de Murcia,Murcia,Piso,barrio El Puntal,130,4,230000
Región de Murcia,Murcia,Piso,Calle Jose Antonio Camacho,89,3,195000
Región de Murcia,Murcia,Piso,barrio Algezares,97,3,113990
Región de Murcia,Murcia,Duplex,barrio Puebla de Soto,98,3,140000
Región de Murcia,Murcia,Chalet,barrio El Raal,114,3,254900
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,157,4,205000
Región de Murcia,Murcia,Chalet,barrio Banos y Mendigo,97,3,458000
Región de Murcia,Murcia,Piso,barrio El Carmen,152,4,197000
Región de Murcia,Murcia,Chalet,barrio El Palmar,126,4,349900
Región de Murcia,Murcia,Piso,Diseminado Camino Soteros,99,3,95000
Región de Murcia,Murcia,Piso,barrio San Anton,117,3,265000
Región de Murcia,Murcia,Piso,barrio Javali Viejo,100,4,83000
Región de Murcia,Murcia,Piso,Colonia San Mateo,105,3,68000
Región de Murcia,Murcia,Piso,Calle Rio Thader,102,3,117300
Región de Murcia,Murcia,Piso,Calle Arquitecto Emilio Perez Pinero,116,4,170000
Región de Murcia,Murcia,Piso,barrio Santa Catalina-San Bartolome,266,3,695000
Región de Murcia,Murcia,Atico,barrio Espinardo,97,3,185000
Región de Murcia,Murcia,Chalet,Calle Milagros,247,6,360000
Región de Murcia,Murcia,Chalet,Calle Aruba Altaona Country & Living Resort s/n,116,3,448000
Región de Murcia,Murcia,Chalet,Calle Aruba Altaona Country & Living Resort s/n,68,2,343000
Región de Murcia,Murcia,Atico,Calle Cabecicos,103,3,260000
Región de Murcia,Murcia,Piso,Calle Cartagena,80,3,255000
Región de Murcia,Murcia,Piso,Azahar 3,73,2,119900
Región de Murcia,Murcia,Piso,Calle Canovas del Castillo s/n,33,4,240000
Región de Murcia,Murcia,Piso,DON ALFONSO PALAZON CLEMARES 6,123,4,255000
Región de Murcia,Murcia,Piso,Calle Traperia,150,5,475000
Región de Murcia,Murcia,Piso,Calle Olivo,159,4,90000
Región de Murcia,Murcia,Chalet,miguel de unamuno 14,125,4,179900
Región de Murcia,Murcia,Piso,Calle Adelfas,88,3,104900
Región de Murcia,Murcia,Piso,Calle Angeles,119,3,119000
Región de Murcia,Murcia,Atico,Calle Virgen del Carmen,115,3,170000
Región de Murcia,Murcia,Piso,Calle de la Paz,81,3,92000
Región de Murcia,Murcia,Piso,Calle Murillo,119,3,95000
Región de Murcia,Murcia,Piso,Calle Barcelona,83,3,131000
Región de Murcia,Murcia,Piso,Calle de la Olma,126,4,228500
Región de Murcia,Murcia,Chalet,Calle Alta,79,2,99000
Región de Murcia,Murcia,Chalet,Calle Candelaria,112,3,135000
Región de Murcia,Murcia,Chalet,Calle Santa Teresa,111,3,105000
Región de Murcia,Murcia,Piso,Calle Huesca,79,2,45000
Región de Murcia,Murcia,Piso,Calle Mayor,144,4,93000
Región de Murcia,Murcia,Chalet,Avenida Churra,181,5,390000
Región de Murcia,Murcia,Chalet,Carril Viveros Municipales,235,6,390000
Región de Murcia,Murcia,Piso,Calle Salzillo,91,3,115000
Región de Murcia,Murcia,Chalet,Avenida Churra,170,5,390000
Región de Murcia,Murcia,Piso,barrio Banos y Mendigo,90,2,130000
Región de Murcia,Murcia,Piso,Calle Adelfas,88,3,86500
Región de Murcia,Murcia,Chalet,Calle Trampolin I,124,4,249000
Región de Murcia,Murcia,Piso,Calle Rosalinda,80,3,85000
Región de Murcia,Murcia,Piso,Calle Huesca,78,2,45000
Región de Murcia,Murcia,Chalet,Calle Santa Teresa,95,3,105000
Región de Murcia,Murcia,Chalet,Carril Viveros Municipales,216,6,390000
Región de Murcia,Murcia,Piso,Calle Entierro de la Sardina,118,3,125000
Región de Murcia,Murcia,Chalet,Calle Aire,102,3,252000
Región de Murcia,Murcia,Chalet,barrio Cabezo de Torres,181,5,340000
Región de Murcia,Murcia,Piso,barrio El Carmen,113,3,255000
Región de Murcia,Murcia,Piso,barrio La Flota,114,4,180000
Región de Murcia,Murcia,Chalet,barrio Rincon de Beniscornia,445,4,850000
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,100,3,360000
Región de Murcia,Murcia,Atico,barrio El Palmar,87,3,179000
Región de Murcia,Murcia,Piso,Avenida de Juan Carlos I,148,5,300000
Región de Murcia,Murcia,Piso,mayor 51,70,2,91900
Región de Murcia,Murcia,Piso,Calle Morera 3,17,4,485000
Región de Murcia,Murcia,Piso,Calle Plano de San Francisco,131,3,256000
Región de Murcia,Murcia,Atico,Calle Morera 3,22,3,575000
Región de Murcia,Murcia,Atico,Calle Morera 3,43,4,650000
Región de Murcia,Murcia,Duplex,barrio El Palmar,105,3,174900
Región de Murcia,Murcia,Piso,Calle Escuelas,48,1,449430
Región de Murcia,Murcia,Piso,barrio San Pio X,54,1,68000
Región de Murcia,Murcia,Piso,barrio San Pio X,68,2,85000
Región de Murcia,Murcia,Piso,Avenida Juan Carlos I,88,3,110000
Región de Murcia,Murcia,Piso,barrio San Andres-San Antolin,138,4,99000
Región de Murcia,Murcia,Piso,Calle Nuestra Senora de los Angeles 4 -18,82,2,72000
Región de Murcia,Murcia,Piso,Travesia Campillo 10 1,110,3,87000
Región de Murcia,Murcia,Chalet,Avenida de Murcia 27,8775,3,99000
Región de Murcia,Murcia,Chalet,EL ESPARRAGAL 5,184,5,420000
Región de Murcia,Murcia,Piso,Torreaguera s/n,77,2,75000
Región de Murcia,Murcia,Piso,La Alberca 4,93,3,109000
Región de Murcia,Murcia,Chalet,La Alberca s/n,129,4,210000
Región de Murcia,Murcia,Casa Rural,Urbanizacion Panero Brugarolas 8,13534,5,314900
Región de Murcia,Murcia,Piso,Avenida JUAN DE BORBON 80,63,2,225000
Región de Murcia,Murcia,Duplex,Calle Oceano Indico 32,175,4,180000
Región de Murcia,Murcia,Duplex,Calle Zeneta 2,136,4,143000
Región de Murcia,Murcia,Piso,CENTROFAMA s/n,149,4,423200
Región de Murcia,Murcia,Casa Rural,Urbanizacion Panero Brugarolas 8,13534,5,314900
Región de Murcia,Murcia,Piso,Avenida JUAN DE BORBON 80,61,2,225000
Región de Murcia,Murcia,Piso,Avenida Reina Sofia,56,1,74900
Región de Murcia,Murcia,Chalet,Camino torre abril 55,175,5,220000
Región de Murcia,Murcia,Duplex,Senda de Granada,154,4,420000
Región de Murcia,Murcia,Atico,Guadalupe s/n,190,4,298000
Región de Murcia,Murcia,Chalet,Calle Jose Balsalobre 1,82,3,179900
Región de Murcia,Murcia,Piso,Calle La Palmera 7,6,2,249000
Región de Murcia,Murcia,Atico,Avenida Don Juan de Borbon,155,4,330000
Región de Murcia,Murcia,Piso,Calle Desembojo,70,2,190000
Región de Murcia,Murcia,Duplex,Calle Columbares,149,3,104000
Región de Murcia,Murcia,Duplex,barrio Vistabella,165,4,240000
Región de Murcia,Murcia,Chalet,barrio El Esparragal,190,5,470000
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,104,3,249500
Región de Murcia,Murcia,Piso,barrio El Carmen,137,4,320000
Región de Murcia,Murcia,Chalet,barrio Beniajan,179,5,490000
Región de Murcia,Murcia,Piso,barrio Santa Maria de Gracia,95,3,393900
Región de Murcia,Murcia,Chalet,barrio Puebla de Soto,106,3,195000
Región de Murcia,Murcia,Piso,barrio Espinardo,240,4,260000
Región de Murcia,Murcia,Piso,barrio El Palmar,221,4,720000
Región de Murcia,Murcia,Piso,barrio Corvera,94,3,134000
