Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Calle Gran Via Puig Sant Salvador,2300000,5,173
Piso,Avenida de l'Argentina,583500,3,104
Piso,Calle de la Talaia,460000,3,75
Chalet,Avenida de Cala Llombards,699900,2,79
Piso,Calle de Pérez Galdós,314900,3,100
Piso,Passatge de les Roques,1155000,3,107
Piso,Calle dels Donants de Sang,975000,4,137
Piso,Calle de Noruega,440000,3,96
Piso,Calle de Can Maçanet,945000,3,130
Casa Rural,Sencelles,550000,3,119
Piso,Camino del Corb Marí,1135000,2,64
Casa Rural,barrio Establiments - Son Sardina,3500000,4,149
Ático,Calle Besora 3,957000,3,32
Chalet,lledoner,520000,5,193
Piso,Calle de Nicolau Calafat,228000,3,84
Duplex,Polígon Saralegui,1250000,3,111
Piso,Calle Besora 3,871000,3,32
Chalet,Av. de la Bella Vista 79,750000,4,159
Chalet,Sor Francinaina Cirer 91,1280000,3,104
Ático,Calle del General Riera,183000,3,118
Piso,Calle VICENÇ JUAN ROSSELO,365000,2,79
,871240305,Avenida de Bartomeu Esteva Mestre Cuiner,1,60
Piso,Calle de Vicenç Joan i Rosselló,329000,4,147
Piso,Calle de Ramon de Montcada,175000,1,51
Chalet,Can Furnet,5990000,5,620
Chalet,barrio Coll d'En Rabassa,3950000,4,250
Piso,Llucmajor Interior,185000,3,99
Chalet,barrio Son Xigala,2450000,5,174
Ático,barrio La Bonanova - Porto Pi,1150000,4,52
Chalet,Costa de la Calma,1250000,3,102
Chalet,barrio La Bonanova - Porto Pi,5800000,4,2.290
Ático,Avenida gabriel alomar,960000,3,222
Duplex,barrio Foners,320000,4,125
Piso,barrio Son Xigala,1750000,5,229
Chalet,Port d'Andratx,4200000,4,123
Chalet,barrio Genova,4900000,4,1.120
Casa Rural,barrio Establiments - Son Sardina,2180000,6,4.900
Chalet,Maioris-Puig de Ros,665000,3,81
Chalet,Maioris-Puig de Ros,1420000,3,82
Chalet,barrio Genova,2500000,4,36
Ático,Calle Pere d'Alcàntara Penya 14,450000,3,108
Chalet,Maioris-Puig de Ros,1420000,3,100
Piso,Can Capes s/n,231000,3,93
Chalet,Barcarés - Manresa - Bonaire,2450000,4,238
Chalet,Costa de la Calma,1800000,4,265
Casa Rural,Calle d'Enmig,1770000,3,340
Piso,Son Verí,675000,3,114
Chalet,Port d'Andratx,5950000,4,127
Chalet,Llucmajor Interior,848000,4,600
Chalet,Llucmajor Interior,695000,5,169
Chalet,Cala Vinyes,1690000,4,409
Chalet,barrio Puntiró,1350000,8,395
Ático,barrio La Bonanova - Porto Pi,1650000,3,20
Chalet,Calvià pueblo,11000000,4,124
Chalet,Badia Blava-Badia Gran-Tolleric,680000,4,146
Chalet,Cala d'Or,1950000,3,250
