Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Piso,Calle Membrilleras,187000,2,14,Huesca,Aragón
Casa Rural,Carretera AISA s/n,95000,2,2000,Huesca,Aragón
Piso,Alto Coso 55,220000,4,138,Huesca,Aragón
Casa Rural,Camino Banariés s/n,77000,1,900,Huesca,Aragón
Piso,Regimiento de Galicia 15,160000,2,55,Huesca,Aragón
Chalet,Carretera Puibolea,420000,10,1300,Huesca,Aragón
Ático,Calle Pedro Ruimonte 12,225000,2,62,Huesca,Aragón
Duplex,Calle Única,102500,2,73,Huesca,Aragón
Piso,Urbanizacion Burgo Rapitan,45000,1,46,Huesca,Aragón
Chalet,Calle San Esteban 7,80000,8,323,Huesca,Aragón
Piso,Esterres,260000,4,137,Huesca,Aragón
Duplex,Pasaje Unión Jaquesa,172000,2,77,Huesca,Aragón
Piso,Pasaje Burgos 7,310000,4,133,Huesca,Aragón
Chalet,Calle Arasan,50000,3,50,Huesca,Aragón
Piso,Avenida Yebra de Basa,279000,6,209,Huesca,Aragón
Casa Rural,Calle Carretera,250000,4,125,Huesca,Aragón
Chalet,Calle de la iglesia,415000,5,801,Huesca,Aragón
Piso,Calle Mayor,169000,2,70,Huesca,Aragón
Chalet,Calle Arrabal,175000,3,309,Huesca,Aragón
Piso,Calle Bellido,216000,3,94,Huesca,Aragón
Estudio,Edificio Pirámide,110000,0,35,Huesca,Aragón
Chalet,Avenida Molsa 3,1000000,4,500,Huesca,Aragón
Casa Rural,el sol,88000,3,58,Huesca,Aragón
Chalet,Calle Mayor Martes,40000,5,101,Huesca,Aragón
Chalet,Calle Única,330000,3,259,Huesca,Aragón
Casa Rural,Calle ORIENTE,120000,4,160,Huesca,Aragón
Piso,Calle Pico Marboré,360000,4,100,Huesca,Aragón
Chalet,Paseo de la Cantera Jaca,1500000,6,100,Huesca,Aragón
Piso,Calle Huesca,179000,2,72,Huesca,Aragón
Chalet,lavadero,450000,5,400,Huesca,Aragón
Piso,Calle San Sebastian Ag Formiga,249000,2,63,Huesca,Aragón
Duplex,Calle Santa Cruz,660000,3,92,Huesca,Aragón
Casa Rural,Calle mayor,198000,5,250,Huesca,Aragón
Casa Rural,aire,450000,5,250,Huesca,Aragón
Duplex,Urbanización Luga de Castiello,149000,2,78,Huesca,Aragón
Chalet,Urbanización Montaña Azul,725410,13,452,Huesca,Aragón
Ático,Calle aguas limpias,182000,2,54,Huesca,Aragón
Duplex,Urbanización Luga de Castiello,149000,2,68,Huesca,Aragón
Casa Rural,Alto Unica,200000,5,700,Huesca,Aragón
Piso,Calle Pico Marboré,360000,4,100,Huesca,Aragón
Chalet,Urbanización Montaña Azul,725410,13,629,Huesca,Aragón
Piso,Avenida de los Arañones,195000,2,75,Huesca,Aragón
Piso,Serrablo,110000,3,94,Huesca,Aragón
Casa Rural,San Juan 4,299000,6,300,Huesca,Aragón
Ático,Calle aguas limpias,182000,2,54,Huesca,Aragón
Chalet,Calle Mondarruego,309000,3,172,Huesca,Aragón
Casa Rural,Calle LEVANTE,248000,5,180,Huesca,Aragón
Casa Rural,Calle Única de Sandiniés,675000,9,452,Huesca,Aragón
Piso,Calle norte,220000,3,81,Huesca,Aragón
Chalet,Calle SAN ANTON,285000,4,143,Huesca,Aragón
Piso,Calle Huesca,185000,3,116,Huesca,Aragón
Casa Rural,Calle de la Fuente,90000,10,466,Huesca,Aragón
Casa Rural,Calle LA IGLESIA s/n,126000,0,200,Huesca,Aragón
Casa Rural,Camporrélls,34500,4,529,Huesca,Aragón
Piso,Calle Ramiro I 27,209250,2,71,Huesca,Aragón
Chalet,Ainsa-Sobrarbe,319500,4,80,Huesca,Aragón
Chalet,Calle Juan XXIII,69900,4,140,Huesca,Aragón
Ático,CM A 5 s/n,274000,3,116,Huesca,Aragón
Piso,Avenida Yebra de Basa,108000,2,62,Huesca,Aragón
Piso,Marques de Uquijo,153000,3,92,Huesca,Aragón
Chalet,Calle Mayor 25,199000,3,30,Huesca,Aragón
Ático,Plaza de Ripa 4,250000,2,68,Huesca,Aragón
Estudio,Calle oriente s/n,45000,0,34,Huesca,Aragón
Piso,Calle Felipe V 2,97000,1,12,Huesca,Aragón
Chalet,Alto de Bescansa s/n,257000,3,96,Huesca,Aragón
Piso,Carretera Pte Escarrilla Ag Pueyo 1,224000,3,85,Huesca,Aragón
Chalet,Unica 1,319000,7,500,Huesca,Aragón
Duplex,Calle Esterres,189000,3,97,Huesca,Aragón
Piso,Fernando el Catolico 20,186000,3,88,Huesca,Aragón
Piso,Avenida de Francia 3,125000,1,51,Huesca,Aragón
Chalet,Calle Baja (Canias) 5,210000,5,300,Huesca,Aragón
Ático,San Roque 6,125000,1,56,Huesca,Aragón
Duplex,Calle el Ferial 6,155000,2,78,Huesca,Aragón
Piso,Plaza la Inmaculada,330000,4,172,Huesca,Aragón
Piso,Calle Coso 23,178000,2,40,Huesca,Aragón
Piso,Calle Los Pinos 6,82000,2,66,Huesca,Aragón
Piso,Carretera de Francia 3,128000,2,72,Huesca,Aragón
Piso,Plaza la Inmaculada,330000,4,172,Huesca,Aragón
Chalet,Calle Poniente 7,270000,3,99,Huesca,Aragón
Piso,aragon 41,120000,3,102,Huesca,Aragón
Chalet,SAN MIGUEL 1,196700,2,68,Huesca,Aragón
Piso,Avenida Yebra de Basa,99000,2,62,Huesca,Aragón
Casa Rural,Calle 7 de Febrero de 1883 12,199000,10,456,Huesca,Aragón
Casa Rural,Calle la Iglesia,180000,4,60,Huesca,Aragón
Casa Rural,San Chaime 8 a,29000,0,204,Huesca,Aragón
Chalet,Tamarite de Litera,65000,3,81,Huesca,Aragón
Chalet,cruz 65,595000,3,99,Huesca,Aragón
Duplex,Calle Joaquín Costa 6,228000,3,92,Huesca,Aragón
Duplex,Avenida de Francia 21,109900,2,63,Huesca,Aragón
Piso,Calle sierra de guara 20,112000,2,50,Huesca,Aragón
Chalet,Calle fuente 2,290000,4,149,Huesca,Aragón
Casa Rural,Calle Barrio Bajo 9,33000,2,20,Huesca,Aragón
Chalet,san grimen,250000,3,134,Huesca,Aragón
Piso,Calle única,130000,1,49,Huesca,Aragón
Chalet,Plaza Ramón Cajal s/n,200000,0,100,Huesca,Aragón
Casa Rural,Calle Única 46,70000,0,40,Huesca,Aragón
Piso,Avenida de Martínez de Velasco 35,165000,3,106,Huesca,Aragón
Piso,Avenida de los Pirineos,170000,1,56,Huesca,Aragón
Chalet,Calle Santo Grial,178000,3,120,Huesca,Aragón
Piso,Las Margas Golf-Latas,94900,1,49,Huesca,Aragón
Chalet,Panticosa,388000,3,111,Huesca,Aragón
Chalet,Calle Mayor,325000,6,461,Huesca,Aragón
Piso,Panticosa,199000,2,60,Huesca,Aragón
Casa Rural,Alcalá de Gurrea,150000,2,0,Huesca,Aragón
Piso,Biescas,186000,3,99,Huesca,Aragón
Casa Rural,Calle pirineo s/n,159000,0,180,Huesca,Aragón
Piso,Paseo Constitución  2,298000,4,158,Huesca,Aragón
Piso,Paseo Constitución  2,299000,4,149,Huesca,Aragón
Duplex,La Paul,188000,3,112,Huesca,Aragón
Chalet,Boltaña,582000,4,70,Huesca,Aragón
Estudio,Edificio Raca,78000,0,42,Huesca,Aragón
Piso,Avenida de Huesca,129000,1,46,Huesca,Aragón
Piso,Calle Población,115000,1,51,Huesca,Aragón
Casa Rural,Calle Mayor,150000,3,136,Huesca,Aragón
Piso,La Espata,79000,2,44,Huesca,Aragón
Ático,Paseo Constitución  2,240000,2,73,Huesca,Aragón
Chalet,Calle Mariano Sánchez Gastón,380000,5,380,Huesca,Aragón
Piso,Calle Escuelas Pías 5,200000,2,69,Huesca,Aragón
Piso,Avenida de Huesca,250000,3,104,Huesca,Aragón
Piso,Bellido,95000,6,120,Huesca,Aragón
Casa Rural,mayor,525000,9,486,Huesca,Aragón
Chalet,Calle Mariano Sánchez Gastón,380000,5,380,Huesca,Aragón
Piso,Calle Única,130000,1,36,Huesca,Aragón
Chalet,Calle Chistorré,320000,5,250,Huesca,Aragón
Piso,Calle LA NOGUERA,244000,3,170,Huesca,Aragón
Piso,Urbanizacion Burgo Rapitan,40000,1,36,Huesca,Aragón
Ático,Avenida de Huesca 3 A,210000,3,96,Huesca,Aragón
Piso,Calle Autonomía de Aragón,184900,3,118,Huesca,Aragón
Chalet,Calle Baja,72000,2,70,Huesca,Aragón
Casa Rural,Plaza Mayor Ag Besians,98000,1,42,Huesca,Aragón
Casa Rural,Carretera Iglesia,58000,5,169,Huesca,Aragón
Piso,pirineos,170000,1,49,Huesca,Aragón
Ático,Avenida de Francia 36,54000,0,25,Huesca,Aragón
Duplex,Calle de los Estudios,215000,3,92,Huesca,Aragón
Chalet,Mayor 10,58000,4,380,Huesca,Aragón
Piso,General Villacampa 24,159000,3,89,Huesca,Aragón
Piso,Calle Porches de Galicia 2 -4,99500,1,46,Huesca,Aragón
Piso,Calle la Cruz 47,385000,3,91,Huesca,Aragón
Chalet,Travesía Mozárabes 2,550000,6,227,Huesca,Aragón
Piso,LLANO 12,228000,2,79,Huesca,Aragón
Piso,Calle Iglesia 30 A,225000,2,74,Huesca,Aragón
Chalet,Arén,325000,5,173,Huesca,Aragón
Chalet,Alto Barrio s/n,120000,2,80,Huesca,Aragón
Chalet,Navarra 13,80000,6,243,Huesca,Aragón
Piso,Camino DE SARAS 29,329900,3,118,Huesca,Aragón
Piso,Camino D 5,215000,2,66,Huesca,Aragón
Ático,Biescas,199000,2,65,Huesca,Aragón
Chalet,Ainsa-Sobrarbe,460000,4,396,Huesca,Aragón
Ático,barrio Casco Antiguo - Ciudadela,570000,3,15,Huesca,Aragón
Piso,Carretera Hoz 2,225000,2,73,Huesca,Aragón
Piso,Escarrilla,148000,2,47,Huesca,Aragón
Piso,Calle Ramiro el Monje Sabiñánigo,55000,3,92,Huesca,Aragón
Casa Rural,Calle del viento,38000,1,41,Huesca,Aragón
Casa Rural,Valle de Lierp,330000,10,456,Huesca,Aragón
Estudio,burgo de rapitan,48000,0,49,Huesca,Aragón
Chalet,Calle MEDIO,189000,1,43,Huesca,Aragón
Chalet,sufrimiento aragones,325000,5,230,Huesca,Aragón
Estudio,burgo de rapitan,48000,0,32,Huesca,Aragón
Piso,Calle Río Flumen 25,195000,3,101,Huesca,Aragón
Piso,Calle Carpanta Neril,109800,2,69,Huesca,Aragón
Casa Rural,Calle Pere García de Benabarre,16500,4,139,Huesca,Aragón
Chalet,Calle del Hospital,360000,0,23,Huesca,Aragón
Casa Rural,Calle zaragoza,22000,2,61,Huesca,Aragón
Chalet,Calle La Laguna 2,850000,5,900,Huesca,Aragón
Piso,Plaza Santa Ana,68500,4,134,Huesca,Aragón
Piso,Calle el Llano,185000,2,61,Huesca,Aragón
Duplex,Calle Medio 12,149900,2,78,Huesca,Aragón
Casa Rural,Calle Mayor,200000,1,90,Huesca,Aragón
Chalet,Panticosa,300000,2,62,Huesca,Aragón
Estudio,Avenida de Huesca,118000,0,25,Huesca,Aragón
Chalet,Nueno,575000,4,145,Huesca,Aragón
Chalet,Zaidin,24000,5,184,Huesca,Aragón
Chalet,Afueras 2,89900,1,10000,Huesca,Aragón
Piso,Angel Samblancat,114500,3,95,Huesca,Aragón
Piso,Calle de Serrablo,136000,3,110,Huesca,Aragón
Chalet,Calle Baja 5,65000,1,68,Huesca,Aragón
Ático,Avenida de Pineta 27,110000,2,69,Huesca,Aragón
Piso,Calle Peña Montañesa 10,97000,2,64,Huesca,Aragón
Chalet,Calle Nuestra Señora de la Asunción 2,445000,3,374,Huesca,Aragón
Piso,Calle Peña Montañesa 10,109000,2,55,Huesca,Aragón
Piso,Avenida de Pineta 21,76000,1,45,Huesca,Aragón
Piso,Avenida ordesa 42,110000,4,108,Huesca,Aragón
Chalet,Calle Ribagorza 17,155000,2,84,Huesca,Aragón
Piso,Calle de Algascar 2,135000,2,91,Huesca,Aragón
Chalet,Calle Baja,190000,3,140,Huesca,Aragón
Ático,Calle B,147000,1,39,Huesca,Aragón
Chalet,Calle Barrio Alto,125000,3,122,Huesca,Aragón
Chalet,Calle la Melusa 3,345000,4,54,Huesca,Aragón
Chalet,Calle Barcelona,980000,5,1200,Huesca,Aragón
Chalet,Calle San Orencio 2 -4,350000,4,148,Huesca,Aragón
Chalet,Calle Ribera de Guasa 1,310000,4,9,Huesca,Aragón
Chalet,Calle Única 69 -15,185000,3,226,Huesca,Aragón
Piso,Plaza Caspe 3,200000,5,139,Huesca,Aragón
Piso,Calle Teruel,242000,4,102,Huesca,Aragón
Piso,Avenida los Danzantes de Huesca,192000,3,70,Huesca,Aragón
Piso,Calle de Serrablo 76,69900,4,120,Huesca,Aragón
Piso,Calle del Cleriguech 15,130000,4,65,Huesca,Aragón
Piso,Avenida de Huesca,220000,3,94,Huesca,Aragón
Piso,Pasaje Golondrinas,85000,3,62,Huesca,Aragón
Piso,Calle Zarandia 22,116000,2,28,Huesca,Aragón
Piso,Calle Tenerías,250000,3,100,Huesca,Aragón
Piso,Avenida de los Pirineos 8,166000,4,143,Huesca,Aragón
Duplex,Calle Única,132000,1,30,Huesca,Aragón
Piso,Calle Fidel Seral,200000,3,90,Huesca,Aragón
Chalet,Calle San Roque,116000,4,123,Huesca,Aragón
Chalet,Calle Mayor,114500,5,775,Huesca,Aragón
Chalet,Calle Molino,69000,5,292,Huesca,Aragón
Piso,Camino de Santiago 2,105500,2,66,Huesca,Aragón
Piso,Calle Ramón y Cajal 3,65000,3,96,Huesca,Aragón
Piso,Barbastro,165000,4,128,Huesca,Aragón
Chalet,Monzon,62000,2,65,Huesca,Aragón
Piso,Avenida del Ejército 28,80000,2,64,Huesca,Aragón
Chalet,Benabarre,350000,3,2081,Huesca,Aragón
Piso,Calle General Lasheras,85000,4,122,Huesca,Aragón
Piso,Monzon,115000,3,89,Huesca,Aragón
Casa Rural,mayor,49000,4,135,Huesca,Aragón
Piso,Calle Jaime I 40,115000,2,80,Huesca,Aragón
Ático,barrio Casco Antiguo - Ciudadela,570000,3,15,Huesca,Aragón
Piso,san bernardo 2,195000,3,83,Huesca,Aragón
Chalet,Binéfar,420000,5,508,Huesca,Aragón
Casa Rural,sierpe 4,10000,2,66,Huesca,Aragón
Piso,Urbanización campanal 1,120000,2,67,Huesca,Aragón
Duplex,Calle de Santiago 39,240000,2,73,Huesca,Aragón
Chalet,teruel,90000,4,135,Huesca,Aragón
Chalet,Calle Herrería 1,46000,0,25,Huesca,Aragón
Chalet,poligono,124500,3,300,Huesca,Aragón
