Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Piso,Calle San Froilán,134000,4,134,Lugo,Galicia
Duplex,Avenida de Magoi,286000,4,9,Lugo,Galicia
Duplex,Avenida de A Coruña,195000,3,112,Lugo,Galicia
Piso,Fingoi,165000,2,70,Lugo,Galicia
Piso,Calle Ourense,155000,3,114,Lugo,Galicia
Piso,adolfo suarez,90000,4,150,Lugo,Galicia
Chalet,Aceña de Olga - Augas Férreas,338000,5,186,Lugo,Galicia
Chalet,O Corgo,500000,4,5680,Lugo,Galicia
Piso,Ronda das Fontiñas,110000,3,94,Lugo,Galicia
Piso,Calle Bolaño Rivadeneira,270000,3,105,Lugo,Galicia
Piso,Calle do Esquecemento,177000,3,100,Lugo,Galicia
Chalet,Vilasuso s/n,695000,3,6200,Lugo,Galicia
Piso,MONDOÑEDO,99000,3,107,Lugo,Galicia
Piso,Calle da pomba,125000,5,120,Lugo,Galicia
Piso,Calle do Peto,95000,2,56,Lugo,Galicia
Piso,Ronda das Fontiñas,119000,2,74,Lugo,Galicia
Chalet,pedreda,370000,5,3652,Lugo,Galicia
Chalet,Friol,160000,5,163,Lugo,Galicia
Chalet,Lugar a Vila,330000,4,33000,Lugo,Galicia
Piso,zona avenida de a coruña s/n,93000,4,105,Lugo,Galicia
Piso,Ronda da Muralla s/n,160000,3,112,Lugo,Galicia
Piso,recinto amurallado s/n,220000,3,6,Lugo,Galicia
Chalet,Camino Triscornia 25,280000,7,368,Lugo,Galicia
Piso,Calle Cidade de Lugo 3,70000,3,116,Lugo,Galicia
Chalet,Camino Xeneral Fazouro 232,120000,6,228,Lugo,Galicia
Casa Rural,Lugar a Rigueira 3 A,105000,4,70,Lugo,Galicia
Piso,Corporaciones Municipales,61000,1,40,Lugo,Galicia
Duplex,Ronda da Muralla,360000,5,20,Lugo,Galicia
Piso,Calle Miguel de Cervantes,138000,4,153,Lugo,Galicia
Piso,Calle Becerreá,79000,3,83,Lugo,Galicia
Chalet,Riego Vilazo 23,65000,5,172,Lugo,Galicia
Chalet,parga,175000,5,326,Lugo,Galicia
Chalet,La Muralla 3,150000,2,15188,Lugo,Galicia
Duplex,Avenida do Doutor García Portela,520000,4,40,Lugo,Galicia
Chalet,Calle do faro,255000,5,200,Lugo,Galicia
Piso,Avenida Álvaro Cunqueiro,150000,3,12,Lugo,Galicia
Chalet,Camino A Triana 4-11 4 -11,110000,4,300,Lugo,Galicia
Piso,Avenida de Magoi 68,220000,3,84,Lugo,Galicia
Piso,Avenida Reverendo Xosé Fernández Núñez,160000,2,75,Lugo,Galicia
Piso,Calle Quiroga,169000,4,134,Lugo,Galicia
Duplex,Avenida de A Coruña,165000,3,93,Lugo,Galicia
Piso,Calle Pintor Corredoira,185000,4,126,Lugo,Galicia
Casa Rural,santa leocadia,176000,3,6000,Lugo,Galicia
Chalet,penelas robra,439000,4,150,Lugo,Galicia
Ático,Calle Viladaide-Praia Altar,99000,2,62,Lugo,Galicia
Chalet,Ferreiroa s/n,1350000,6,30,Lugo,Galicia
Chalet,Calle Viladaide-Praia Altar,210000,4,765,Lugo,Galicia
Duplex,Residencia - Abella,108000,2,68,Lugo,Galicia
Piso,Ronda das Fontiñas,140000,3,137,Lugo,Galicia
Chalet,gandaras s/n,135000,5,90,Lugo,Galicia
Piso,Avenida da Coruña,225000,3,100,Lugo,Galicia
Estudio,Calle San Isidro Labrador s/n,69000,0,40,Lugo,Galicia
Piso,Calle Santiago,127500,4,149,Lugo,Galicia
Chalet,Lugar a Vila,194500,5,3000,Lugo,Galicia
Chalet,Barreiros,185000,5,500,Lugo,Galicia
Chalet,nadela,950000,11,1400,Lugo,Galicia
Duplex,Aceña de Olga - Augas Férreas,620000,6,270,Lugo,Galicia
Chalet,Ribadeo,200000,4,21000,Lugo,Galicia
Piso,Avenida da Mariña,125000,4,149,Lugo,Galicia
Piso,Carril dos Indios 16,144000,3,120,Lugo,Galicia
Piso,Barreiros,99000,2,74,Lugo,Galicia
Duplex,La Milagrosa,205000,4,143,Lugo,Galicia
Duplex,La Milagrosa,205000,4,143,Lugo,Galicia
Chalet,Barreiros,365000,5,2000,Lugo,Galicia
Piso,Avenida de A Coruña - Paradai,155000,3,22,Lugo,Galicia
Chalet,Barreiros,350000,4,2170,Lugo,Galicia
Casa Rural,San Estevo de Castro de Amarante s/n,1050000,1,44,Lugo,Galicia
Chalet,Calle Alexandre Bóveda,120000,4,154,Lugo,Galicia
Piso,La Milagrosa,130000,4,116,Lugo,Galicia
Duplex,Quiroga 48,155000,5,250,Lugo,Galicia
Ático,Recinto Amurallado,198000,2,70,Lugo,Galicia
Duplex,Avenida de A Coruña - Paradai,165000,2,65,Lugo,Galicia
Piso,Piringalla,145000,3,98,Lugo,Galicia
Piso,Calle Congostra 22,96200,2,73,Lugo,Galicia
Piso,Recinto Amurallado,395000,4,128,Lugo,Galicia
Chalet,Calle Santiago,159000,5,152,Lugo,Galicia
Chalet,flor de malva s/n,93000,4,139,Lugo,Galicia
Piso,Calle Corporaciones Municipales,90000,2,70,Lugo,Galicia
Ático,Camino CAMIÑO REAL,79450,3,90,Lugo,Galicia
Piso,Calle Madanela,135000,2,77,Lugo,Galicia
Piso,Viveiro,74000,4,137,Lugo,Galicia
Piso,O Carme - Recatelo,66000,3,100,Lugo,Galicia
Duplex,O Carme - Recatelo,170000,3,110,Lugo,Galicia
Piso,Calle Río Navia,85000,4,80,Lugo,Galicia
Chalet,calde,270000,5,2500,Lugo,Galicia
Chalet,parroquias oeste,125000,4,134,Lugo,Galicia
Duplex,Barreiros,120000,3,119,Lugo,Galicia
Casa Rural,Trabada,93000,4,112,Lugo,Galicia
Ático,Barreiros,83000,3,85,Lugo,Galicia
Chalet,Barreiros,165000,5,183,Lugo,Galicia
Piso,Calle Bolaño Rivadeneira 2,430000,4,121,Lugo,Galicia
Piso,Calle Beiramar,92000,3,92,Lugo,Galicia
Casa Rural,Avenida Galicia 4,199000,8,392,Lugo,Galicia
Piso,Paseo de Altar 40,185000,3,88,Lugo,Galicia
Ático,Viladaide Playa Altar 40,190000,3,86,Lugo,Galicia
Casa Rural,A Rochela s/n,83000,4,7000,Lugo,Galicia
Casa Rural,Calle Ripanzo 43,93000,2,1236,Lugo,Galicia
Casa Rural,Muras,19000,1,53,Lugo,Galicia
Piso,Calle Poeta Aquilino Iglesia Alvariño s/n,65000,2,75,Lugo,Galicia
Casa Rural,CP 16-11 16,70000,3,350,Lugo,Galicia
Piso,Ronda das Mercedes s/n,108000,4,107,Lugo,Galicia
Duplex,Avenida de A Coruña s/n,162000,4,135,Lugo,Galicia
Chalet,Ribeira Santa Eulalia de Cuiña 23,295000,4,155,Lugo,Galicia
Duplex,Avenida de A Coruña s/n,162000,4,135,Lugo,Galicia
Casa Rural,Calle Nogueiro 20,24000,2,1034,Lugo,Galicia
Casa Rural,Valle Neira de Rey s/n,125000,3,350,Lugo,Galicia
Piso,Ronda da Muralla,238000,3,111,Lugo,Galicia
Piso,Calle Pascual Veiga,310000,5,170,Lugo,Galicia
Piso,Calle Alexandre Bóveda,170000,3,113,Lugo,Galicia
Piso,Ronda del carmen,197000,3,80,Lugo,Galicia
Chalet,Lugar Distriz,390000,6,2500,Lugo,Galicia
Piso,Camino VERDE,135000,3,88,Lugo,Galicia
Chalet,Lugar Carrigueiros,380000,5,162,Lugo,Galicia
Piso,Avenida Adolfo Suárez,129000,4,95,Lugo,Galicia
Piso,Calle Serra de Ancares,108000,3,75,Lugo,Galicia
Piso,Castelao,95000,5,160,Lugo,Galicia
Piso,Ronda das Fontiñas,140000,3,140,Lugo,Galicia
Ático,Carretera General,105999,2,61,Lugo,Galicia
Piso,Avenida Ramón Ferreiro,425000,5,173,Lugo,Galicia
Piso,Calle Nicomedes Pastor Díaz,255000,4,148,Lugo,Galicia
Piso,Calle Chantada,85000,4,124,Lugo,Galicia
Chalet,Calle Acea de Olga,399000,5,400,Lugo,Galicia
Casa Rural,SANTO ESTEVO DE FARNADEIROS 7,60000,4,127,Lugo,Galicia
Chalet,campiña muxa,300000,6,400,Lugo,Galicia
Estudio,Calle Nogueiredo,89000,0,39,Lugo,Galicia
Piso,Calle dos Paxariños,83000,3,121,Lugo,Galicia
Chalet,Penelas,140000,2,50,Lugo,Galicia
Piso,Calle Tui,350000,2,126,Lugo,Galicia
Piso,Calle Armanyá,640000,7,251,Lugo,Galicia
Piso,Calle dos Gardas,95000,3,100,Lugo,Galicia
Piso,Calle García Abad,150000,5,170,Lugo,Galicia
Duplex,Ronda do Carme,250000,6,198,Lugo,Galicia
Estudio,Recinto Amurallado,140000,0,12,Lugo,Galicia
Chalet,Lugar Felpas,360000,3,4000,Lugo,Galicia
Chalet,Calle Ourense,240000,3,300,Lugo,Galicia
Duplex,Calle Nicomedes Pastor Díaz,370000,4,184,Lugo,Galicia
Piso,Calle Maria Castaño,349000,3,113,Lugo,Galicia
Chalet,Lugar Maceda,260000,5,1700,Lugo,Galicia
Piso,Calle Ourense,155000,3,122,Lugo,Galicia
Casa Rural,Fervedoria s/n Sn,85000,3,103,Lugo,Galicia
Piso,Calle dos Clérigos,225000,6,200,Lugo,Galicia
Chalet,Parroquias Oeste,96000,4,832,Lugo,Galicia
Chalet,Parroquias Oeste,96000,4,832,Lugo,Galicia
Casa Rural,881350595,Neira 5,974990,673,Lugo,Galicia
Piso,La Milagrosa,165000,3,101,Lugo,Galicia
Piso,Calle Melitón Cortiñas 10 -26,65000,3,147,Lugo,Galicia
Piso,Calle Bispo Aguirre,168000,1,67,Lugo,Galicia
Piso,Calle Trapero Pardo,99000,2,75,Lugo,Galicia
Piso,Avenida de A Coruña - Paradai,89000,3,83,Lugo,Galicia
Piso,Calle Lamas de Prado,60000,3,80,Lugo,Galicia
Piso,Plaza Fonte dos Ranchos,105000,3,85,Lugo,Galicia
Casa Rural,Campelos,350000,7,380,Lugo,Galicia
Duplex,Calle Alcalde Manuel Portela,185000,4,147,Lugo,Galicia
Piso,Calle Grande,70000,5,187,Lugo,Galicia
Piso,Calle Lavandeira,93000,3,99,Lugo,Galicia
Chalet,Lugar O Torron 1,410000,5,3080,Lugo,Galicia
Piso,Calle Rego de Foz 8,132000,3,85,Lugo,Galicia
Piso,Camino Xunqueira 27,73000,2,76,Lugo,Galicia
Piso,Calle dos Clérigos s/n,245000,7,50,Lugo,Galicia
Piso,Calle Marina Española,93000,4,133,Lugo,Galicia
Chalet,Calle Nevado de Bouza 17,90000,3,99,Lugo,Galicia
Piso,Avenida Breogán,135000,3,111,Lugo,Galicia
Chalet,Carretera DE FORXAN s/n,1500000,10,2000,Lugo,Galicia
Chalet,Aceña de Olga - Augas Férreas,690000,4,157,Lugo,Galicia
Chalet,N-634 22,210000,3,90,Lugo,Galicia
Piso,Calle dos Gardas,125000,3,14,Lugo,Galicia
Chalet,Carballido 9,92000,0,3800,Lugo,Galicia
Piso,Calle Ourense 1,155000,4,26,Lugo,Galicia
Piso,Avenida de asturias,94000,4,130,Lugo,Galicia
Piso,Calle Nicomedes Pastor Díaz,255000,4,25,Lugo,Galicia
Chalet,celso curras 1,300000,7,88,Lugo,Galicia
Chalet,San Pedro s/n,440000,4,6000,Lugo,Galicia
Duplex,Calle Angelo Colocci,325000,4,158,Lugo,Galicia
Chalet,Carretera Santo Albites s/n,285000,5,1300,Lugo,Galicia
Chalet,Lugar Seixon de Abaixo 3,92000,3,150,Lugo,Galicia
Piso,Calle dos Clérigos,200000,2,105,Lugo,Galicia
Piso,Avenida Padre Gómez 8,129000,2,70,Lugo,Galicia
Piso,Calle Xermolos 24,109000,2,64,Lugo,Galicia
Chalet,Calle Vimbial 104,250000,5,185,Lugo,Galicia
Chalet,O Corgo s/n,475000,5,8442,Lugo,Galicia
Piso,BOLAÑO RIVADENEIRA,140000,3,91,Lugo,Galicia
Chalet,Lugar Birbigueira 4,375000,3,83,Lugo,Galicia
Piso,Travesía do Mercado 11,70000,3,83,Lugo,Galicia
Chalet,Calle Vimbial 104,250000,5,199,Lugo,Galicia
Chalet,Lugar Birbigueira 4,375000,3,87,Lugo,Galicia
Piso,Avenida Padre Gómez 8,129000,2,66,Lugo,Galicia
Chalet,Lugar Seixon de Abaixo 3,92000,3,150,Lugo,Galicia
Casa Rural,Nacional 634 s/n,499990,8,391,Lugo,Galicia
Piso,Calle Xermolos 24,109000,2,70,Lugo,Galicia
Chalet,O Corgo s/n,475000,5,8442,Lugo,Galicia
Chalet,Carretera Santo Albites s/n,285000,5,1300,Lugo,Galicia
Chalet,Arrabada 1,39900,2,68,Lugo,Galicia
Casa Rural,Calle Aldea Trascastro 6,35000,4,3,Lugo,Galicia
Piso,pascual veiga,83900,2,57,Lugo,Galicia
Casa Rural,Goiriz s/n,140000,5,370,Lugo,Galicia
Piso,Avenida DA XUNQUEIRA 59,105000,2,69,Lugo,Galicia
Casa Rural,AS POZAS,60000,2,90,Lugo,Galicia
Piso,Carril dos Indios,101000,4,136,Lugo,Galicia
Duplex,Avenida Marqués de Ombreiro 1,299000,5,189,Lugo,Galicia
Chalet,Calle Nova,145000,0,91,Lugo,Galicia
Piso,Ronda das Fontiñas s/n,145000,4,20,Lugo,Galicia
Piso,Calle Bispo Aguirre,120000,5,199,Lugo,Galicia
Piso,Calle Ramón Montenegro,155000,2,88,Lugo,Galicia
Chalet,campo castillo,275000,2,66,Lugo,Galicia
Piso,Avenida Infanta Elena s/n,192000,4,116,Lugo,Galicia
Chalet,San Pedro Meixide 5,150000,4,149,Lugo,Galicia
Chalet,Parroquias Oeste,218500,4,3000,Lugo,Galicia
Chalet,Calle Chantada 2 -28,310000,3,321,Lugo,Galicia
Duplex,Calle Rof Codina Veterinario s/n,155000,2,73,Lugo,Galicia
Piso,Calle de Rosalía de Castro 77,71300,4,128,Lugo,Galicia
Piso,Calle Corporacións Municipais 62,85000,1,42,Lugo,Galicia
Estudio,Calle Concepción Arenal,180000,0,49,Lugo,Galicia
Piso,Calle mar Cantábrico 26,79500,1,48,Lugo,Galicia
Casa Rural,Lugar Marcadoiro 3,60000,3,94,Lugo,Galicia
Piso,Calle Marqués de Rodil 23,60300,3,94,Lugo,Galicia
Chalet,Vilaframil,298000,8,307,Lugo,Galicia
Piso,Calle Guitiriz,71000,3,112,Lugo,Galicia
Chalet,LU-P-2901,160000,2,69,Lugo,Galicia
Piso,Avenida de A Coruña Lugo,80000,3,100,Lugo,Galicia
Piso,Plaza Fernando de Casas Novoa Arquitecto,248000,4,133,Lugo,Galicia
Piso,Calle Erin,128000,3,106,Lugo,Galicia
Piso,Calle dos Artesáns,77500,2,64,Lugo,Galicia
Piso,Calle Castelao,247000,3,105,Lugo,Galicia
Piso,Avenida de A Coruña Lugo,80000,3,100,Lugo,Galicia
Piso,Calle Erin,128000,3,120,Lugo,Galicia
Piso,Calle San Eufrasio,90000,4,160,Lugo,Galicia
Chalet,Lugar Viador,150000,2,4800,Lugo,Galicia
Piso,Calle Cidade de Viveiro Lugo,330000,5,200,Lugo,Galicia
Chalet,Lugar a Pena,69000,3,2000,Lugo,Galicia
Piso,Carril das Flores Lugo,220000,4,120,Lugo,Galicia
Piso,RIO SIL,120000,3,122,Lugo,Galicia
Piso,Plaza de Ferrol,180000,3,90,Lugo,Galicia
Piso,982680968,Calle Bolaño Rivadeneira,269000,466,Lugo,Galicia
Piso,Ronda da Muralla Lugo,265000,4,108,Lugo,Galicia
Chalet,Lugar Castro,190000,5,4000,Lugo,Galicia
Piso,Calle dos Artesáns,77500,2,66,Lugo,Galicia
Piso,Calle Montero Ríos,165000,2,67,Lugo,Galicia
Duplex,aviador parga cerezo,520000,4,114,Lugo,Galicia
Duplex,republica argentina,340000,5,170,Lugo,Galicia
