Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso ,Calle Alcalde García Peñuela 10 ,65300 ,1,62
Piso ,Calle Alcalde García Peñuela 10 ,84300 ,3,92
Piso ,Calle Zamora ,390000 ,4,142
Estudio ,Plaza Mayor ,220000 ,0,38
Piso ,Plazuela Diego Hurtado de Mendoza 12 ,118000 ,2,80
Piso ,Plaza de la Fuente 17 ,295000 ,2,70
Piso ,Calle Maestro Jiménez ,95000 ,3,91
Piso ,Calle Núñez de Balboa ,166000 ,2,61
Piso ,Gil de Ontañón 4 ,269000 ,3,106
Piso ,Avenida de París ,275000 ,3,52
Piso ,Carretera Naharros ,117000 ,3,91
Duplex ,Calle Zurbarán ,138795 ,4,74
Piso ,Calle Rodillo ,115000 ,3,84
Piso ,molino ,120000 ,3,31
Chalet ,Calle Abetos ,300000 ,5,5.500
Chalet ,Anselmo de dios ,135000 ,4,152
Piso ,Paseo de Canalejas ,285000 ,3,138
Chalet ,Calle Las Eras ,160000 ,4,432
Piso ,ZAMORA ,360000 ,4,143
Piso ,Ronda del Corpus 36 ,187000 ,4,131
Piso ,Paseo de Rubens ,154000 ,3,84
Piso ,Calle Corbacera 1 ,125000 ,3,69
Piso ,Avenida de Portugal ,215000 ,4,157
Chalet ,Calle Perdices ,305000 ,3,93
Piso ,Calle Pisuerga ,129000 ,3,9
Piso ,Calle Fernando de la Peña ,220000 ,4,127
Piso ,Avenida de Portugal ,210000 ,4,122
Piso ,San Fernando 2 ,110000 ,4,154
Piso ,Calle Don Bosco ,120000 ,3,114
Chalet ,Pelabravo ,1125000 ,6,1496
Piso ,barrio Centro ,380000 ,6,220
Piso ,La Salle - Vistahermosa ,121000 ,4,151
Piso ,Calle Condes de Crespo Rascón ,325000 ,4,121
Piso ,Paseo del Doctor Torres Villarroel ,185000 ,3,80
Chalet ,Calle Acacias 31 ,295000 ,4,270
Chalet ,Calle silencio 7 ,270000 ,4,265
Piso ,Calle Gil de Ontañón ,269000 ,3,106
Chalet ,Calle Río Mondego 83 ,275000 ,4,215
Chalet ,Sierra de Francia 27 ,375000 ,5,1.200
