Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso ,Calle Teófilo Ayuso ,167000 ,3,93
Piso ,Calle Gobernador Fernández Jiménez 20 ,329000 ,4,123
Piso ,Palazuelos de Eresma ,73000 ,1,58
Piso ,Plaza Centro Segoviano de Madrid 6 ,109000 ,3,75
Chalet ,Calle REGALADA ,695000 ,6,221
Piso ,Calle Maestro José Costa 5 ,275000 ,1,15
Chalet ,Calle de los Cerros ,395000 ,6,245
Piso ,Calle de José Zorrilla ,179900 ,4,108
Chalet ,Arco Del ,210000 ,3,45
Piso ,Melancolía Baja ,339000 ,3,113
Chalet ,El Carmen ,275000 ,3,85
Piso ,San Ildefonso o la Granja ,159000 ,3,82
Chalet ,Plaza Mayor - S.Agustín ,2100000 ,5,1.786
Chalet ,Trescasas ,760000 ,5,177
Chalet ,San Ildefonso o la Granja ,150000 ,1,64
Chalet ,Calle Pergolero ,470000 ,5,398
Chalet ,CANTARRANAS ,225000 ,5,306
Piso ,Calle Ángel Barroso ,66500 ,1,40
Chalet ,Calle Acacias ,445000 ,5,350
Piso ,Calle Bardagueras ,89000 ,3,92
Duplex ,Centro ,265000 ,4,132
Duplex ,El Cerro - Crtra. San Rafael ,185000 ,3,106
Chalet ,Palazuelos de Eresma ,298000 ,5,179
Piso ,S.Lorenzo - S.Marcos ,128500 ,2,67
Chalet ,San Ildefonso o la Granja ,850000 ,5,174
Duplex ,Sector Plaza de Toros ,270000 ,6,201
Chalet ,Navas de Riofrio ,450000 ,6,368
Chalet ,Calle de las Eras ,502000 ,3,98
Chalet ,San Pedro 31 ,269000 ,5,189
Casa Rural ,Calle Ermita s/n ,120000 ,4,135
Chalet ,El Espinar ,1275000 ,6,12.000
Chalet ,Calle de Pedraza 2 ,2100000 ,10,5.000
Chalet ,Encinillas ,165000 ,3,92
Piso ,Plaza Mayor - S.Agustín ,369000 ,4,120
Chalet ,San Rafael ,420000 ,5,178
Piso ,Palazuelos de Eresma ,149500 ,3,115
Piso ,Via Roma ,188000 ,2,77
Chalet ,Urb. Seo de Urgel ,670000 ,6,1.835
Piso ,Avenida Coto San Isidro ,115000 ,3,115
Piso ,Calle La Virgen ,100000 ,4,100
Chalet ,Plaza Mayor - S.Agustín ,740000 ,3,98
Chalet ,Avenida de 7 Fuentes ,317750 ,3,250
Chalet ,Cabañas de Polendos ,144500 ,3,309
Chalet ,Calle Sol ,370000 ,4,312
Chalet ,Calle Ecuador 1139 ,253000 ,3,83
Chalet ,Calle Ecuador 1139 ,325000 ,4,151
Chalet ,Los Ángeles de San Rafael ,168000 ,3,150
Chalet ,Calle Ecuador 1139 ,268000 ,3,111
Chalet ,Calle Ecuador 1139 ,237000 ,3,115
Piso ,El Carmen ,129000 ,3,87
Casa Rural ,Calle de San Agustín ,360000 ,8,115
Chalet ,Calle San Martin 5 ,290000 ,3,120
Piso ,Calle Valdeláguila ,425000 ,3,175
5 ,635971142 ,N- VI Km 78,5,176
Chalet ,S.Lorenzo - S.Marcos ,575000 ,3,85
Piso ,Calle Barrio Arriba ,47000 ,1,60
Chalet ,Calle la Cabaña ,130000 ,4,159
Chalet ,La Losa ,280000 ,4,142
Piso ,Palazuelos de Eresma ,129775 ,4,127
Piso ,El Cerro - Crtra. San Rafael ,165000 ,3,103
Chalet ,Martin Miguel ,690000 ,4,148
Chalet ,921261187 ,La Lastrilla ,1050000,542
Piso ,Plaza Mayor - S.Agustín ,1200000 ,7,408
Chalet ,San Ildefonso o la Granja ,850000 ,6,1.057
Piso ,Centro ,185000 ,4,137
Piso ,Calle Raserillo Bajo ,68500 ,1,46
Chalet ,Marazoleja ,145000 ,5,80
Piso ,Carretera de Villacastín ,219000 ,4,142
Piso ,Calle del Piano ,80000 ,3,86
Chalet ,S.Lorenzo - S.Marcos ,260000 ,3,90
Casa Rural ,VIRIATO s/n ,197000 ,4,138
Chalet ,Carretera de La Coruña 52 ,249000 ,4,127
Piso ,Palazuelos de Eresma ,129500 ,3,80
Chalet ,Calle de la Cruz 40 ,320000 ,5,1000
Chalet ,Urbanizacion Parraces II 144 ,105000 ,2,2.500
Piso ,S.Lorenzo - S.Marcos ,89900 ,2,60
