Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Duplex,Sant Domènec,599000,4,60
Chalet,Calle de Mozart,1780000,5,183
Duplex,Calle de Villar,265525,1,53
Chalet,Calle del Dofí,770000,4,156
Chalet,Paseo Garbí,1598000,4,138
Ático,Avenida de Castelldefels 118,780000,4,125
Chalet,Paseo de Bellavista,1300000,4,126
Chalet,Calle del Topazi,1450000,5,400
Chalet,Plaza Brasília,850000,4,151
Piso,Avenida de Pedralbes,1400000,5,40
Piso,Els Molins-Observatorio-Pins Vens,450000,3,104
Piso,barrio Vila de Gràcia,440000,4,135
Chalet,Cabrera de Mar,925000,4,400
Ático,Calle Sant Damià,595000,3,102
Piso,barrio Centre,465000,3,105
Chalet,Mercat,475000,5,203
Piso,Calle de Balmes,829000,4,176
Piso,Calle de los Castillejos,425000,3,115
Piso,Calle del Comte d'Urgell,825000,6,170
Piso,Passatge dels Pins Melis,770000,4,152
Chalet,Canyelles,460000,5,174
Piso,barrio El Centre,365000,3,87
Piso,Centre,529000,4,129
Chalet,Califòrnia-Santa Madrona,1300000,4,151
Ático,Vinyet-Terramar-Can Pei-Can Girona,1750000,4,254
Piso,La Plana,1150000,4,125
Piso,barrio La Dreta de l'Eixample,1280000,4,152
Chalet,Centre,880000,5,280
Piso,barrio Sant Gervasi - Galvany,4600000,5,425
Chalet,Montmany,850000,5,313
Piso,El Castell-Poble Vell,329000,4,20
Piso,Centre,270000,3,93
Piso,Can Tintorer - Can Pere Boir - Can Tries,214990,3,84
Chalet,Montmar,1450000,8,309
Piso,barrio Sant Gervasi - Galvany,550000,3,124
Piso,Mirasol,545000,3,106
Chalet,Mas Mestre,690000,4,350
Piso,PJ MOSSEN FELIX CLARA,585000,2,78
Piso,Calle de Salvador Espriu,795000,4,126
Piso,Calle de la Gleva,535000,2,74
Chalet,de les gabarres 13,390000,2,70
Chalet,Centre,840000,4,145
Piso,Calle de Ballester,615000,3,120
Piso,Calle de Galileu,354000,2,67
Piso,Calle de Nicaragua,645000,2,79
Piso,Ronda del General Mitre,1155000,4,140
Chalet,Can Raimí - Les Ginesteres - Can Cabot,530000,5,302
Chalet,La Miranda - Ciutat Diagonal,2150000,4,128
Ático,Calle de Nicaragua,1395000,2,115
Chalet,Paseo Sant Albert,2200000,4,440
Piso,Camino del Coll,690000,3,220
Piso,Travesía de Gràcia,510000,4,131
Piso,Calle Ramon de Dalmases,611000,3,110
Ático,Calle de Bori i Fontestà,1590000,5,202
Piso,Calle de la Emancipación,1390000,7,283
Piso,Calle de Nàpols,435000,4,91
Chalet,Baixador,995000,3,109
Piso,Calle del Comte Borrell,1690000,6,200
Piso,Gran Via de les Corts Catalanes,1425000,4,70
Piso,Calle d'Antoni Gaudí,750000,3,106
Ático,barrio L'Antiga Esquerra de l'Eixample,1790000,3,105
Piso,barrio La Dreta de l'Eixample,990000,3,84
Piso,barrio Sant Gervasi - Galvany,420000,2,61
Piso,barrio Sant Gervasi - Galvany,550000,3,107
Ático,barrio Sant Gervasi - La Bonanova,1875000,5,400
Ático,barrio L'Antiga Esquerra de l'Eixample,795000,3,94
Piso,Calle de Girona,1200000,5,186
Piso,barrio Sant Antoni,1170000,7,307
Chalet,Bellaterra,790000,4,212
Piso,Calle de Sant Pere Més Baix,850000,3,120
Duplex,Rambla del Carmelo,495000,3,93
Piso,barrio Les Corts,1290000,5,187
Piso,Paseo de Maragall,225000,4,143
Piso,Calle de Felip II,227000,3,93
Piso,Calle de Pujades,390000,3,94
Piso,Plaza Josep Roca Pons,750000,3,32
Piso,Calle de Muntaner,450000,3,85
Chalet,Vallirana,210000,3,212
Piso,Calle dels Escudellers,345000,3,92
Piso,Calle de València,680000,5,142
Piso,Industria,725000,4,143
Piso,Calle de Milà i Fontanals,395000,3,82
Piso,Plaza de la Vila de Madrid,850000,2,71
Piso,Calle de Nàpols,360000,3,119
Duplex,Paseo Universal,590000,5,32
Piso,Calle de Sant Pau,565000,2,77
Piso,Calle del Carme,395000,2,76
Chalet,san didac,1400000,5,778
Piso,Calle de Muntaner,980000,5,194
Chalet,Calle de Josep Roig i Raventós,890000,4,35
Piso,Via Laietana,540000,3,88
Chalet,Calle Major,915000,5,200
Piso,Avenida de Manuel Girona,240000,3,107
Chalet,josep irla,1600000,6,1.327
Piso,Calle de Llobet i Vall-llosera,300000,4,115
Piso,Plaza Primer de Maig,180000,3,73
Piso,Calle de Castelao,220000,3,78
Piso,Calle del Cardener,410000,3,101
Piso,Calle de Sor Eulàlia d'Anzizu,550000,3,127
Piso,Calle Ample,325000,1,83
Piso,Calle de Villarroel,495000,3,130
Ático,Calle de Casp,3200000,4,426
Piso,Calle de Padilla,560000,4,111
Piso,Ronda de Sant Pere,1100000,3,105
Piso,Avenida de Pedralbes,1950000,4,386
Chalet,Calle de Pedrell,995000,5,236
Piso,Londres,400000,3,96
Piso,Calle de Balmes,950000,5,192
Piso,Paseo de García Faria,1990000,3,115
Piso,Calle del Carme,565000,2,72
Ático,barrio La Salut,599000,3,98
Piso,Calle de Còrsega 562,695000,3,83
Piso,barrio El Putxet i el Farró,720000,2,66
Chalet,Calle de Sant Rafel s/n,480000,4,186
Chalet,Avenida miralpeix,2600000,4,1436
Piso,Passatge de la Solidaritat 12,1400000,4,276
Piso,Calle de Sant Antoni Maria Claret,330000,3,110
Piso,Via Laietana,699000,1,90
Ático,Calle de València,550000,5,171
Piso,Paseo de la Zona Franca,240000,3,74
Piso,Calle de Guillem Tell,598250,1,71
Piso,Calle d' Ausias March,1150000,2,130
Chalet,Levantina-Montgavina-Quintmar,795000,10,681
Piso,barrio Sant Antoni,465000,2,65
Ático,barrio El Raval,749000,4,130
Piso,Calle de Muntaner,1050000,4,151
Chalet,GARNATXA,875000,5,180
Piso,Calle del Carme,395000,2,5
Piso,Calle de la Gleva,535000,2,75
Piso,Plaza d'Eusebi Güell,1800000,4,263
Chalet,Calle de Tarragona,1575000,6,519
Chalet,CL Els Pollancres,1150000,6,3.400
Piso,Calle de Mallorca,795000,2,72
Chalet,Lluis Companys,1120000,5,314
Piso,Calle de la Diputació,660000,3,120
Piso,Calle del Bruc,675000,3,100
Piso,Calle de la Legalitat,379000,3,4
Chalet,Calle Melis,950000,4,145
Ático,Plaza de Francesc Macià,3395000,5,136
Piso,Calle de la Riereta,289000,2,63
Piso,Calle de Calvet,1175000,3,89
Ático,Calle de Bori i Fontestà,1950000,3,86
Piso,Calle de la Riereta,289000,2,66
Piso,Calle del Doctor Ferran,1450000,5,177
Piso,Calle de Radas,1700000,5,165
Piso,Calle de l'Avenir,370000,2,62
Piso,Calle d'Ausiàs Marc,1800000,1,120
Piso,Calle de Mallorca,795000,2,66
Ático,Gran Via de les Corts Catalanes,795000,3,155
Piso,Calle de Girona,1450000,2,141
Piso,Calle de Sabino Arana,980000,3,151
Piso,Calle del Rosselló,1025000,3,103
Ático,Plaza de Francesc Macià,3395000,5,136
Piso,Calle de la Gleva,535000,2,71
Piso,Calle de Balmes,855000,3,184
Ático,Avenida Diagonal,2495000,5,140
Chalet,CL Els Pollancres,1150000,6,3.400
Piso,Calle del Bruc,1590000,3,102
Piso,Calle de Pau Claris,990000,3,98
Piso,Calle de Provença,1290000,4,127
Piso,Gleva,595000,2,85
Chalet,Avenida del Maresme 21,575000,5,349
Piso,Calle d'Enric Granados,1790000,3,173
Chalet,Lloc Urbanitzacio Supermaresme 40,1250000,5,358
Piso,Avenida de Gaudí,939000,2,60
Piso,Calle de la Princesa,795000,3,84
Piso,Calle de Freixa,1500000,3,200
Chalet,Avenida del Regadiu 1,1450000,5,557
Piso,Calle Rosselló,1025000,3,89
Chalet,Calle de Ponent 1,890000,7,420
Chalet,Avenida Supermaresme 126,2650000,6,505
