"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Bacerlona","Ático en Gran Via de les Corts Catalanes, L'Antiga Esquerra de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101935694/","795,000 €","3 hab. 182 m² Planta 6ª exterior con ascensor","Ático en venta en Eixample Esquerra, Barcelona Amplio y luminoso Ático pasante a la venta con terraza en Eixample. Este magnífico ático tiene una excelente localización cerca del centro de Barcelona,","Lujo"
"Bacerlona","Piso en calle de Muntaner, Sant Gervasi - Galvany, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/98142322/","990,000 €","6 hab. 202 m² Planta 5ª exterior con ascensor","Este inmueble a reformar se encuentra en la 5ª planta real de una finca catalogada y reformada, respetando sus elementos clásicos. Se sitúa en el barrio de Galvany, a pocos metros del mercado y de la","Lujo"
"Bacerlona","Chalet pareado en paseo de Can Sagrera, Centre, Sant Just Desvern","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101955222/","1,400,000 €","6 hab. 314 m²","Casa reformada a estrenar en Bell Parc Magnífica casa adosada situada en una de las urbanizaciones cerradas más solicitadas de Sant Just Desvern. La propiedad cuenta con la mejor orientación Sureste.","Vistas al mar Villa"
"Bacerlona","Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101853399/","385,000 €","1 hab. 88 m² Planta 2ª exterior con ascensor","Precioso y acogedor piso estilo loft con terraza entre Eixample y El Born. Este maravilloso piso estilo loft neoyorquiono se encuentra en una ubicación inmejorable entre El Born y el Eixample, a pocos","Lujo"
"Bacerlona","Piso en calle de Bailèn, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/100973274/","1,400,000 €","3 hab. 198 m² Planta 1ª exterior con ascensor","Este encantador piso de casi 200m2 ha sido renovado completamente inspirado en los majestuosos pisos parisinos, aprovechando la generosa altura de 3,70m de sus techos, sus grandes ventanales, y la vis","Lujo"
"Bacerlona","Piso en calle del Consell de Cent, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101007100/","690,000 €","2 hab. 85 m² Planta 1ª exterior con ascensor","Maravilloso piso en venta en el corazón del Ensanche Derecho de Barcelona, a la vuelta de la esquina de la elegante Rambla de Catalunya conocida por sus lujosos comercios y conocida aun más por sus re",""
"Bacerlona","Piso en calle de Roger de Llúria, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101675239/","1,470,000 €","4 hab. 200 m² Planta 5ª exterior con ascensor","Barcelona & Costa Brava Sotheby's International Realty tiene el agrado de presentar esta exclusiva propiedad recién reformada, ubicada en una de las intersecciones más importantes de Eixample Dret. Se",""
"Bacerlona","Ático en paseo de Manuel Girona, Sarrià, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101719289/","1,650,000 €","4 hab. 225 m² Planta 6ª exterior con ascensor","Ático para estrenar en Sarriá con parquing y trastero Desde Engel & Völkers, les presentamos un sueño en Sarriá nuevo a estrenar. Se trata de 140m2 todo exterior con magnificas terrazas, también de 15",""
"Bacerlona","Piso en calle de Provença, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101525040/","1,290,000 €","4 hab. 171 m² exterior con ascensor","Elegante piso Modernista en Eixample Nos complace ofrecerles este estiloso apartamento modernista, situado en finca regia con portero a pocos minutos de distancia de Passeig de Gràcia y el centro de l",""
"Bacerlona","Piso en calle de Casp, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101708306/","3,200,000 €","4 hab. 441 m² Planta 5ª exterior con ascensor","Espectacular piso reformado en finca señorial en Eixample Se sitúa en una fabulosa finca esquinera de estilo Noucentista del año 1936 construida por el laureado arquitecto Francesc de Paula Nebot i To",""
"Bacerlona","Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/99418110/","1,390,000 €","5 hab. 182 m² Planta 4ª exterior con ascensor","Bonito piso en elegante finca de Rambla Catalunya Engel & Völkers les presenta este maravilloso piso ubicado en la misma Rambla Catalunya y al lado de Consell de cent, uno de los nuevos ejes verdes de",""
"Bacerlona","Piso en calle de Balmes, Sant Gervasi - Galvany, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/96436324/","550,000 €","3 hab. 110 m² Planta 4ª exterior con ascensor","Muy buen piso para entrar a vivir en Balmes Galvany Se trata de un cuarto piso de 110m2 para entrar a vivir con alguna actualización. Está bien distribuido, con clara delimitación zona día y zona noch",""
"Bacerlona","Piso en calle de Manila, Pedralbes, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/100360735/","1,150,000 €","4 hab. 140 m² Planta 6ª exterior con ascensor","Piso único con vistas, parking y piscinas en Sarriá En Exclusiva para Engel&Völkers, os presentamos un piso con unas vistas impresionantes a Barcelona y con muchísima luz en todas las estancias. Se tr",""
"Bacerlona","Ático en calle de Vinyals, El Guinardó, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101042333/","430,000 €","4 hab. 100 m² Planta 4ª exterior sin ascensor","Fantástico ático reformado en Calle Vinyals Ático reformado hace 6 años, de 88 m2 + 25 m2 de terraza, con 4 habitaciones, 3 de ellas individuales grandes y una doble. El piso es un 4º sin ascensor, au",""
"Bacerlona","Piso en calle d'Enric Granados, L'Antiga Esquerra de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101224185/","1,100,000 €","3 hab. 103 m² Planta 4ª exterior con ascensor","Impresionante vivienda de 3 dormitorios y 2 baños con la combinación perfecta de encanto clásico y diseño moderno. El apartamento tiene características originales, incluidos los techos con vigas de ma",""
"Bacerlona","Piso en calle de Sicília, El Fort Pienc, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/101871866/","1,425,000 €","4 hab. 195 m² Planta 4ª exterior con ascensor","La promotora de lujo Nobohome ofrece este piso de 195m2 situado en la 4ª planta superior de un precioso edificio premodernista que cuenta con un amplio hall de entrada con ascensor. El salón con cocin",""
"Bacerlona","Piso en calle de Manila, Pedralbes, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/96311583/","895,000 €","3 hab. 127 m² Planta 2ª exterior con ascensor","Magnifico piso con piscina en Sarrià Desde Engel&Völkers, les presentamos una magnifica propiedad situada en la calle Manila de Sarriá. Es un piso reformado con altas calidades y con una ubicación exc",""
