Provincia,descrip,Precio,Habitaciones,m²
Asturias,Piso,199900,2,50
Asturias,Chalet,299900,3,117
Asturias,Piso,169900,2,83
Asturias,Chalet,749990,6,119
Asturias,Piso,530000,4,242
Asturias,Piso,220000,2,290
Asturias,Piso,152000,3,333
Asturias,Piso,119900,2,88
Asturias,Chalet,110000,2,61
Asturias,Piso,185000,3,195
Asturias,Piso,164000,2,76
Asturias,Piso,165000,3,92
Asturias,Chalet,495000,7,81
Asturias,Chalet,745000,5,75
Asturias,Piso,630000,4,88
Asturias,Ático,218000,3,68
Asturias,Piso,127000,1,100
Asturias,Chalet,420000,5,71
Asturias,Piso,185000,1,181
Asturias,Piso,128000,3,210
Asturias,Piso,165000,1,260
Asturias,Duplex,85000,2,390
Asturias,Chalet,690000,4,441
Asturias,Piso,210000,2,119
Asturias,Duplex,350000,4,76
Asturias,Chalet,650000,3,64
Asturias,Piso,185000,3,111
Asturias,Piso,85000,3,249
Asturias,Piso,170000,3,291
Asturias,Chalet,40000,3,326
Asturias,Piso,280000,4,61
Asturias,Piso,82500,1,75
Asturias,Chalet,575000,6,81
Asturias,Chalet,1200000,10,61
Asturias,Chalet,695000,5,72
Asturias,Piso,203000,3,115
Asturias,Piso,360000,4,151
Asturias,Piso,167000,2,219
Asturias,Piso,119000,2,297
Asturias,Chalet,1150000,6,399
Asturias,Chalet,184000,7,478
Asturias,Piso,118000,2,75
Asturias,Chalet,89000,2,51
Asturias,Piso,159000,3,105
Asturias,Piso,149000,3,86
Asturias,Piso,160000,3,222
Asturias,Piso,320000,3,87
Asturias,Chalet,290000,4,247
Asturias,Chalet,650000,5,276
Asturias,Casa Rural,350000,7,269
Asturias,Chalet,131500,3,67
Asturias,Piso,260000,6,80
Asturias,Chalet,479000,3,67
Asturias,Ático,338200,2,96
Asturias,Chalet,510000,7,127
Asturias,Chalet,375000,3,200
Asturias,Chalet,745000,10,297
Asturias,Chalet,649000,6,383
Asturias,Chalet,877000,6,483
Asturias,Piso,168900,3,102
Asturias,Chalet,389000,4,54
Asturias,Chalet,549000,6,98
Asturias,Piso,161000,2,50
Asturias,Piso,250000,2,223
Asturias,Piso,360000,4,266
Asturias,Piso,137000,2,366
Asturias,Chalet,156000,3,85
Asturias,Piso,210000,2,83
Asturias,Piso,490000,5,66
Asturias,Chalet,650000,4,64
Asturias,Piso,293000,2,96
Asturias,Chalet,146000,2,67
Asturias,Piso,350000,6,62
Asturias,Piso,113000,2,100
Asturias,Piso,129900,3,94
Asturias,Piso,217000,3,82
Asturias,Chalet,235000,5,111
Asturias,Piso,162000,3,200
Asturias,Piso,144500,3,236
Asturias,Chalet,156000,3,294
Asturias,Piso,156000,3,367
Asturias,Piso,186000,1,499
Asturias,Chalet,310000,3,182
Asturias,Chalet,145000,2,48
Asturias,Chalet,279000,5,403
Asturias,Casa Rural,310000,7,496
Asturias,Chalet,79900,4,216
Asturias,Chalet,375000,4,263
Asturias,Piso,215000,3,338
Asturias,Chalet,249000,4,65
Asturias,Chalet,398000,4,60
Asturias,Casa Rural,339000,3,72
Asturias,Piso,218000,2,67
Asturias,Piso,175000,3,87
Asturias,Piso,51000,3,51
Asturias,Chalet,75000,2,186
Asturias,Casa Rural,139900,3,210
Asturias,Chalet,385000,5,270
Asturias,Duplex,424500,4,305
Asturias,Piso,315000,2,492
Asturias,Chalet,198000,3,66
Asturias,Duplex,188000,3,96
Asturias,Piso,209000,3,92
Asturias,Chalet,483900,5,109
Asturias,Piso,169000,3,225
Asturias,Chalet,224000,4,254
Asturias,Piso,300000,3,333
Asturias,Piso,120000,2,92
Asturias,Chalet,375000,4,92
Asturias,Piso,115000,3,91
Asturias,Chalet,285000,4,75
Asturias,Piso,210000,3,64
Asturias,Piso,110000,3,101
Asturias,Chalet,374000,4,140
Asturias,Piso,240000,4,247
Asturias,Piso,95000,2,261
Asturias,Chalet,1100000,5,337
Asturias,Piso,249000,3,460
Asturias,Piso,175000,3,117
Asturias,Piso,62000,3,57
Asturias,Piso,312000,2,83
Asturias,Piso,119000,2,71
Asturias,Piso,275000,5,200
Asturias,Piso,136900,3,274
Asturias,Piso,95000,2,341
Asturias,Piso,95000,3,62
Asturias,Piso,140000,3,64
Asturias,Chalet,312000,4,71
Asturias,Piso,179000,3,81
Asturias,Piso,117000,3,75
Asturias,Casa Rural,199000,2,94
Asturias,Chalet,699000,5,81
Asturias,Chalet,420000,5,74
Asturias,Chalet,549000,4,79
Asturias,Casa Rural,215000,3,67
Asturias,Chalet,420000,4,110
Asturias,Piso,169000,3,179
Asturias,Piso,219900,4,232
Asturias,Piso,181000,2,254
Asturias,Ático,225000,2,393
Asturias,Piso,199000,2,72
Asturias,Chalet,298000,4,116
Asturias,Ático,66500,1,75
Asturias,Chalet,59900,2,64
Asturias,Piso,340000,6,67
Asturias,Chalet,550000,6,239
Asturias,Duplex,330000,3,260
Asturias,Piso,100000,2,351
Asturias,Piso,160000,3,93
Asturias,Piso,149000,2,72
Asturias,Chalet,299000,5,72
Asturias,Piso,260000,4,85
Asturias,Chalet,119000,3,91
Asturias,Piso,340000,3,118
Asturias,Chalet,538000,3,141
Asturias,Piso,165000,1,207
Asturias,Chalet,399000,4,256
Asturias,Chalet,995000,7,313
Asturias,Piso,150000,3,497
Asturias,Chalet,339000,6,101
Asturias,Piso,123000,1,90
Asturias,Piso,152000,3,108
Asturias,Chalet,474900,5,70
Asturias,Piso,149900,2,225
Asturias,Duplex,59000,2,93
Asturias,Duplex,220000,2,233
Asturias,Piso,119000,1,282
Asturias,Piso,110000,1,297
Asturias,Piso,135000,3,77
Asturias,Piso,227250,3,75
Asturias,Chalet,250000,5,77
Asturias,Chalet,199000,4,82
Asturias,Piso,95000,3,195
Asturias,Piso,224000,4,205
Asturias,Piso,165000,2,282
Asturias,Chalet,118000,3,302
Asturias,Chalet,459000,4,481
Asturias,Piso,125000,3,118
Asturias,Piso,159000,4,89
Asturias,Piso,69999,1,58
Asturias,Piso,230000,3,110
Asturias,Piso,369000,4,209
Asturias,Piso,125000,3,264
Asturias,Piso,155000,2,315
Asturias,Piso,115000,3,65
Asturias,Chalet,110000,3,97
Asturias,Chalet,160000,3,61
Asturias,Piso,139900,3,63
Asturias,Piso,119999,1,84
Asturias,Piso,119900,2,86
Asturias,Piso,219000,4,73
Asturias,Piso,129000,3,73
Asturias,Piso,124900,2,90
Asturias,Piso,110000,2,98
Asturias,Piso,141000,2,67
Asturias,Piso,263000,3,195
Asturias,Piso,388000,3,250
Asturias,Duplex,300000,3,252
Asturias,Ático,360000,3,344
Asturias,Chalet,345000,5,497
Asturias,Chalet,650000,8,47
Asturias,Duplex,218000,4,95
Asturias,Piso,343000,4,262
Asturias,Piso,129000,3,114
Asturias,Chalet,220000,3,240
Asturias,Chalet,324900,4,283
Asturias,Piso,85000,2,306
Asturias,Piso,269000,3,100
Asturias,Piso,145000,1,99
Asturias,Piso,189000,2,77
Asturias,Chalet,75000,4,100
Asturias,Chalet,990000,4,87
Asturias,Chalet,325000,3,47
Asturias,Piso,270000,3,137
Asturias,Chalet,650000,6,206
Asturias,Piso,172000,3,273
Asturias,Piso,160000,2,333
Asturias,Chalet,798800,3,433
Asturias,Chalet,149500,2,51
Asturias,Chalet,790000,4,99
Asturias,Piso,435000,4,109
Asturias,Piso,185000,3,48
Asturias,Piso,149000,1,209
Asturias,Piso,135000,3,287
Asturias,Chalet,365000,5,394
Asturias,Chalet,420000,3,76
Asturias,Piso,181500,2,66
Asturias,Chalet,170000,4,88
Asturias,Piso,351000,3,94
Asturias,Piso,263500,4,63
Asturias,Piso,212500,3,182
Asturias,Piso,149900,3,158
Asturias,Piso,325000,3,221
Asturias,Piso,138000,3,284
Asturias,Piso,298000,5,376
Asturias,Piso,50000,2,404
Asturias,Piso,343000,3,195
