com. autonoma,provincia,descripción,precio,habitaciones,m²
Islas Baleares,Islas Baleares,Chalet,498500,4,346
Islas Baleares,Islas Baleares,Ático,319000,3,84
Islas Baleares,Islas Baleares,Piso,435000,2,63
Islas Baleares,Islas Baleares,Chalet,640000,4,57
Islas Baleares,Islas Baleares,Chalet,425000,3,52
Islas Baleares,Islas Baleares,Casa Rural,220000,1,91
Islas Baleares,Islas Baleares,Chalet,5500000,6,75
Islas Baleares,Islas Baleares,Piso,1495000,3,78
Islas Baleares,Islas Baleares,Chalet,136900,3,357
Islas Baleares,Islas Baleares,Piso,249000,1,66
Islas Baleares,Islas Baleares,Chalet,1280000,4,154
Islas Baleares,Islas Baleares,Piso,1390000,4,79
Islas Baleares,Islas Baleares,Duplex,740000,3,70
Islas Baleares,Islas Baleares,Chalet,5900000,4,75
Islas Baleares,Islas Baleares,Chalet,599000,4,113
Islas Baleares,Islas Baleares,Chalet,495000,3,86
Islas Baleares,Islas Baleares,Casa Rural,2800000,4,231
Islas Baleares,Islas Baleares,Chalet,4900000,4,54
Islas Baleares,Islas Baleares,Chalet,340500,4,130
Islas Baleares,Islas Baleares,Ático,975000,3,65
Islas Baleares,Islas Baleares,Chalet,1290000,4,171
Islas Baleares,Islas Baleares,Piso,650000,3,72
Islas Baleares,Islas Baleares,Chalet,1090000,4,91
Islas Baleares,Islas Baleares,Chalet,296000,4,61
Islas Baleares,Islas Baleares,Casa Rural,425000,2,289
Islas Baleares,Islas Baleares,Chalet,5900000,4,78
Islas Baleares,Islas Baleares,Piso,230000,2,95
Islas Baleares,Islas Baleares,Piso,1484000,5,100
Islas Baleares,Islas Baleares,Chalet,1100000,7,175
Islas Baleares,Islas Baleares,Chalet,2950000,4,277
Islas Baleares,Islas Baleares,Piso,180000,3,90
Islas Baleares,Islas Baleares,Chalet,2450000,4,76
Islas Baleares,Islas Baleares,Piso,359000,3,84
Islas Baleares,Islas Baleares,Piso,375000,2,385
Islas Baleares,Islas Baleares,Chalet,255500,3,195
Islas Baleares,Islas Baleares,Chalet,6900000,5,50
Islas Baleares,Islas Baleares,Chalet,349000,2,72
Islas Baleares,Islas Baleares,Chalet,4395000,4,377
Islas Baleares,Islas Baleares,Chalet,749000,5,83
Islas Baleares,Islas Baleares,Chalet,3450000,3,83
Islas Baleares,Islas Baleares,Piso,950000,4,95
Islas Baleares,Islas Baleares,Piso,425000,3,70
Islas Baleares,Islas Baleares,Ático,1199000,3,104
Islas Baleares,Islas Baleares,Chalet,5750000,8,61
Islas Baleares,Islas Baleares,Piso,397000,2,58
Islas Baleares,Islas Baleares,Piso,250000,3,77
Islas Baleares,Islas Baleares,Piso,390000,4,279
Islas Baleares,Islas Baleares,Chalet,1995000,4,45
Islas Baleares,Islas Baleares,Piso,325000,2,64
Islas Baleares,Islas Baleares,Casa Rural,3250000,6,65
Islas Baleares,Islas Baleares,Piso,995000,3,62
Islas Baleares,Islas Baleares,Casa Rural,300000,4,67
Islas Baleares,Islas Baleares,Chalet,1650000,4,240
Islas Baleares,Islas Baleares,Chalet,485000,3,250
Islas Baleares,Islas Baleares,Duplex,495000,2,77
Islas Baleares,Islas Baleares,Casa Rural,1500000,4,111
Islas Baleares,Islas Baleares,Piso,185000,3,288
Islas Baleares,Islas Baleares,Chalet,3500000,5,92
Islas Baleares,Islas Baleares,Piso,445000,1,100
Islas Baleares,Islas Baleares,Piso,690000,3,136
Islas Baleares,Islas Baleares,Piso,1955000,3,209
Islas Baleares,Islas Baleares,Chalet,549000,5,100
Islas Baleares,Islas Baleares,Ático,640000,2,60
Islas Baleares,Islas Baleares,Chalet,2200000,5,248
Islas Baleares,Islas Baleares,Ático,319000,3,94
Islas Baleares,Islas Baleares,Piso,367500,2,237
Islas Baleares,Islas Baleares,Chalet,1300000,5,376
Islas Baleares,Islas Baleares,Chalet,400000,4,107
Islas Baleares,Islas Baleares,Chalet,3450000,3,366
Islas Baleares,Islas Baleares,Piso,825000,3,72
Islas Baleares,Islas Baleares,Chalet,725000,3,80
Islas Baleares,Islas Baleares,Ático,1180000,3,314
Islas Baleares,Islas Baleares,Piso,179900,1,99
Islas Baleares,Islas Baleares,Casa Rural,855000,3,262
Islas Baleares,Islas Baleares,Chalet,214900,2,291
Islas Baleares,Islas Baleares,Chalet,450000,3,75
Islas Baleares,Islas Baleares,Piso,320000,3,195
Islas Baleares,Islas Baleares,Chalet,1495000,5,75
Islas Baleares,Islas Baleares,Chalet,1295000,4,130
Islas Baleares,Islas Baleares,Chalet,2100000,6,117
Islas Baleares,Islas Baleares,Piso,675000,4,99
Islas Baleares,Islas Baleares,Piso,265000,2,491
Islas Baleares,Islas Baleares,Casa Rural,2000000,4,256
Islas Baleares,Islas Baleares,Chalet,1760000,4,201
Islas Baleares,Islas Baleares,Chalet,528000,3,123
Islas Baleares,Islas Baleares,Estudio,198000,0,237
Islas Baleares,Islas Baleares,Chalet,7750000,4,87
Islas Baleares,Islas Baleares,Piso,312500,3,92
Islas Baleares,Islas Baleares,Piso,335000,2,84
Islas Baleares,Islas Baleares,Casa Rural,2200000,6,95
Islas Baleares,Islas Baleares,Chalet,1300000,4,69
Islas Baleares,Islas Baleares,Piso,279000,3,86
Islas Baleares,Islas Baleares,Chalet,920000,6,85
Islas Baleares,Islas Baleares,Chalet,289500,4,362
Islas Baleares,Islas Baleares,Chalet,4500000,4,63
Islas Baleares,Islas Baleares,Chalet,2300000,7,93
Islas Baleares,Islas Baleares,Piso,798000,3,59
Islas Baleares,Islas Baleares,Ático,599000,2,89
Islas Baleares,Islas Baleares,Chalet,1295000,4,74
Islas Baleares,Islas Baleares,Chalet,3900000,6,315
Islas Baleares,Islas Baleares,Piso,1300000,4,111
Islas Baleares,Islas Baleares,Casa Rural,8975000,12,86
Islas Baleares,Islas Baleares,Chalet,1700000,5,369
Islas Baleares,Islas Baleares,Chalet,848000,4,167
Islas Baleares,Islas Baleares,Duplex,375000,2,232
Islas Baleares,Islas Baleares,Chalet,750000,3,118
Islas Baleares,Islas Baleares,Chalet,11500000,5,91
Islas Baleares,Islas Baleares,Chalet,2850000,4,97
Islas Baleares,Islas Baleares,Piso,210000,3,462
Islas Baleares,Islas Baleares,Chalet,7900000,4,254
Islas Baleares,Islas Baleares,Piso,249000,3,64
Islas Baleares,Islas Baleares,Chalet,250000,4,300
Islas Baleares,Islas Baleares,Chalet,1700000,5,71
Islas Baleares,Islas Baleares,Piso,495000,2,446
Islas Baleares,Islas Baleares,Chalet,1280000,4,110
Islas Baleares,Islas Baleares,Chalet,790000,5,403
Islas Baleares,Islas Baleares,Casa Rural,630000,4,85
Islas Baleares,Islas Baleares,Piso,750000,2,211
Islas Baleares,Islas Baleares,Chalet,1800000,12,64
Islas Baleares,Islas Baleares,Chalet,4950000,7,92
Islas Baleares,Islas Baleares,Chalet,6500000,5,73
Islas Baleares,Islas Baleares,Ático,1750000,6,263
Islas Baleares,Islas Baleares,Piso,315000,3,454
Islas Baleares,Islas Baleares,Chalet,1280000,3,78
Islas Baleares,Islas Baleares,Piso,1590000,4,274
Islas Baleares,Islas Baleares,Chalet,1100000,5,90
Islas Baleares,Islas Baleares,Piso,989000,3,266
Islas Baleares,Islas Baleares,Chalet,540000,5,91
Islas Baleares,Islas Baleares,Piso,1900000,4,242
Islas Baleares,Islas Baleares,Chalet,420000,3,92
Islas Baleares,Islas Baleares,Piso,330000,2,86
Islas Baleares,Islas Baleares,Piso,2550000,2,94
Islas Baleares,Islas Baleares,Chalet,1200000,3,77
Islas Baleares,Islas Baleares,Chalet,3500000,3,97
Islas Baleares,Islas Baleares,Casa Rural,1910000,3,62
Islas Baleares,Islas Baleares,Piso,1250000,7,97
Islas Baleares,Islas Baleares,Piso,895000,3,382
Islas Baleares,Islas Baleares,Ático,650000,4,444
Islas Baleares,Islas Baleares,Chalet,1050000,3,262
Islas Baleares,Islas Baleares,Chalet,650000,6,60
Islas Baleares,Islas Baleares,Ático,1790000,3,90
Islas Baleares,Islas Baleares,Chalet,3600000,4,80
Islas Baleares,Islas Baleares,Piso,775000,3,204
Islas Baleares,Islas Baleares,Chalet,2100000,6,70
Islas Baleares,Islas Baleares,Chalet,548000,6,88
Islas Baleares,Islas Baleares,Chalet,1500000,5,65
Islas Baleares,Islas Baleares,Chalet,535000,3,60
Islas Baleares,Islas Baleares,Estudio,650000,0,81
Islas Baleares,Islas Baleares,Duplex,1235000,2,323
Islas Baleares,Islas Baleares,Ático,193000,2,86
Islas Baleares,Islas Baleares,Ático,610000,2,228
Islas Baleares,Islas Baleares,Piso,350000,3,195
Islas Baleares,Islas Baleares,Chalet,2450000,5,304
Islas Baleares,Islas Baleares,Piso,580000,6,314
Islas Baleares,Islas Baleares,Duplex,416000,2,98
Islas Baleares,Islas Baleares,Chalet,5950000,4,86
Islas Baleares,Islas Baleares,Piso,398000,3,178
Islas Baleares,Islas Baleares,Casa Rural,240000,4,220
Islas Baleares,Islas Baleares,Piso,980000,3,78
Islas Baleares,Islas Baleares,Piso,199000,3,96
Islas Baleares,Islas Baleares,Chalet,3500000,6,267
Islas Baleares,Islas Baleares,Piso,690000,2,118
Islas Baleares,Islas Baleares,Chalet,4400000,4,261
Islas Baleares,Islas Baleares,Chalet,2950000,3,69
Islas Baleares,Islas Baleares,Piso,1800000,3,219
Islas Baleares,Islas Baleares,Chalet,440000,4,97
Islas Baleares,Islas Baleares,Chalet,1495000,4,73
Islas Baleares,Islas Baleares,Piso,185000,3,189
Islas Baleares,Islas Baleares,Piso,245000,4,50
Islas Baleares,Islas Baleares,Chalet,1050000,4,111
Islas Baleares,Islas Baleares,Chalet,950000,4,294
Islas Baleares,Islas Baleares,Chalet,2300000,5,264
Islas Baleares,Islas Baleares,Chalet,755000,5,369
Islas Baleares,Islas Baleares,Casa Rural,785000,2,87
Islas Baleares,Islas Baleares,Chalet,675000,4,293
Islas Baleares,Islas Baleares,Chalet,980000,3,267
Islas Baleares,Islas Baleares,Piso,397000,2,65
Islas Baleares,Islas Baleares,Chalet,4495000,4,449
Islas Baleares,Islas Baleares,Piso,1265000,3,109
Islas Baleares,Islas Baleares,Casa Rural,1575000,5,81
Islas Baleares,Islas Baleares,Chalet,1312500,4,61
Islas Baleares,Islas Baleares,Ático,510000,2,439
Islas Baleares,Islas Baleares,Chalet,650000,7,95
