Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Calle Alfarería,169900,1
Piso,Vista Azul - Consolación,86900,2
Piso,barrio Puerta Carmona-Puerta Osario-Amador de los Ríos,373000,4
Piso,barrio Parlamento - Torneo,120000,1
Piso,Calle Castilla,169900,1
Piso,Calle Monte Olivete,260000,3
Piso,Avenida Veintiocho de Febrero,157000,4
Piso,barrio Puerta Carmona-Puerta Osario-Amador de los Ríos,229000,3
Piso,Calle Juan Sebastián Elcano,549000,3
Piso,Calle QUEVEDO,105000,2
Duplex,barrio Encarnación-Las Setas,275000,1
Piso,Centro,140000,3
Chalet,Calle Sierra Bermeja,195000,3
Chalet,Duque de Amores,325000,4
Piso,sabiduria,223510,3
Chalet,Torrequinto,495000,5
Chalet,Avenida de España 75,245000,4
Piso,Calle Tajo 107,148000,3
Piso,Avenida de España 40,142500,3
Piso,Nucleo Bolsena 5,158000,4
Piso,Calle Manuel Calvo Leal 1,185000,3
Chalet,Calle Templarios,89000,5
Piso,Arco norte - Avda España,145000,2
Chalet,Vista Azul - Consolación,165000,3
Piso,barrio Arroyo - Santa Justa,268000,3
Piso,Calle Baños 32,189000,1
Piso,Barrio Bajo,127900,3
Piso,barrio San Pablo,80000,2
Piso,barrio Plaza de la Gavidia-San Lorenzo,475000,2
Chalet,Simon Verde,650000,5
Chalet,Torrequinto,374000,4
Chalet,Centro - Doña Mercedes,260000,6
Piso,barrio López de Gomara,311000,2
Chalet,La Motilla - Fuente del Rey,146000,3
Piso,barrio Arenal - Museo - Tetuán,2350000,5
Piso,barrio Arroyo - Santa Justa,242000,4
Chalet,Zona Avda. Juan Diego,198500,4
Piso,Centro - Doña Mercedes,110000,3
Piso,Barrio Alto,216000,3
Piso,Zona Avenida de Europa,173000,3
Piso,Calle Rodo,380000,2
Chalet,Olivar de Quintos,300000,4
Piso,Calle Jucar,107000,2
Duplex,Calle José Carreras,210000,4
Piso,PESADORA 2,96000,3
Chalet,Calle Fuengirola,156500,3
Chalet,Avenida Europa,242000,4
Chalet,Simon Verde,1295000,9
Piso,barrio Doctor Fedriani,95900,3
Piso,barrio Avenida de las Ciencias,260000,4
Piso,barrio Avenida de las Ciencias,222000,4
Chalet,Carretera de Sevilla a Utrera,450000,5
Piso,barrio Los Bermejales,210000,3
Piso,barrio Calle Betis - Pagés del Corro,275000,2
Casa Rural,Las Almenas,206600,4
Piso,barrio López de Gomara,197000,3
Piso,Entrenúcleos,176900,3
Piso,Arco norte - Avda España,189900,3
Chalet,barrio Juan XXIII,129000,3
Chalet,barrio Avenida de las Ciencias,279900,4
Piso,barrio Juan XXIII,127260,2
Chalet,Arco norte - Avda España,285000,4
Chalet,Torrequinto,425000,4
Piso,barrio Emilio Lemos,145000,3
Duplex,Calle San Bernardo,498000,2
Piso,Centro - Doña Mercedes,128000,3
Piso,barrio Ctra. de Carmona-Miraflores,185000,3
Piso,Nuevo Bulevar,223510,3
Piso,barrio San Julián,190000,3
Piso,barrio Feria,260000,3
Chalet,Centro - Doña Mercedes,149500,2
Piso,REAL UTRERA 94,168000,3
Piso,barrio Jardines de Hércules,228000,3
Piso,juan pablo II,100000,2
Piso,vistazul,125000,3
Piso,barrio Santa Cruz - Alfalfa,400000,2
Piso,barrio Arroyo - Santa Justa,180000,3
Chalet,barrio Alcalde L. Uruñuela - Palacio de Congresos,379000,2
Chalet,Zona Colegio Europa,415000,4
Chalet,barrio Alcalde L. Uruñuela - Palacio de Congresos,390000,4
Piso,Calle Castellar  9,289000,2
Piso,Calle Castellar  9,379000,2
Piso,Avenida de la Cruz del Campo,170000,3
Piso,barrio San Pablo,151000,3
Piso,barrio Avenida de las Ciencias,155500,3
Piso,barrio Emilio Lemos,149900,3
Piso,barrio Parlamento - Torneo,152000,3
Piso,barrio Alcalde L. Uruñuela - Palacio de Congresos,132500,1
Piso,barrio Villegas - Los Principes,140000,4
Piso,barrio Villegas - Los Principes,71500,2
Piso,Grupo los Príncipes P VII,99000,2
Piso,El Arenal - La Pólvora,65000,3
Piso,reina mercedes,475800,3
Piso,Av. de Andalucia,127000,3
Piso,Calle Alfarería 138,206000,1
Piso,Plaza GRAN PLAZA,399000,4
Chalet,MADRE MARÍA TERESA,295000,7
Piso,REINA MERCEDES,650000,4
Piso,Calle Cardenal Lluch,480000,4
Chalet,Calle de la Fuente,319000,4
Chalet,Calle Rico Cejudo,365000,6
Ático,Plaza padre Jerónimo de Córdoba,990000,5
Piso,MARQUÉS DEL NERVIÓN,480000,3
Ático,San Clemente,320000,2
Chalet,Chipiona,650000,5
Piso,Baños,385000,2
Piso,Calle Galera,219000,1
Piso,Avenida Padre García Tejero,459000,5
Chalet,Manuel de Falla,292000,4
Chalet,Calle Juan Rodríguez Bermejo,715000,8
Piso,Edimburgo,225000,2
Piso,Calle Virgen de Luján,649000,5
Piso,Calle Trajano,275000,1
Chalet,Camas,695000,10
Chalet,barrio El Porvenir,898000,6
Piso,PARQUE ATLÁNTICO,179000,2
Piso,Calle Descalzos,209000,1
Piso,Avenida DE LA REINA MERCEDES,320000,3
Chalet,Santa Ana,875000,6
Chalet,barrio Plaza de la Gavidia-San Lorenzo,850000,8
Piso,Calle Boteros,299000,1
Piso,Avenida de Emilio Lemos,280000,3
Piso,Salado,364000,3
Chalet,Avenida SAN LUIS GONZAGA,430000,5
Ático,Pelay Correa,320000,1
Piso,Avenida de Manuel Clavero Arévalo esquina con la calle Ajenjo s/n,180000,2
Piso,Calle Virgen de Valvanera,353000,3
Chalet,Urbanización las Monjas,230000,5
Piso,Calle Romera,150000,3
Piso,Manuel Villalobos,250000,4
Piso,Avenida San Juan de la Salle 5,270100,4
Piso,Calle Reposo,320000,2
Piso,Calle Amperio esquina C/ Cátodo s/n,154600,2
Piso,Calle Amperio esquina C/ Cátodo s/n,174700,3
Chalet,Calle Ardilla Sevilla,1500000,9
Duplex,Carretera de Carmona 49,360000,3
Chalet,SAN JOSE,195600,6
