Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Calle del Coso,420000,5
Chalet,Barranco de Luzbel,115000,4
Piso,Calle de la Marina Española 12,270000,4
Piso,Avenida Tenor Fleta 53,290000,4
Piso,Avenida del Tenor Fleta 57,180000,1
Piso,Calle del Santuario de Rodanas 1,228000,4
Piso,Joaquin Sanz Gadea,198000,3
Duplex,Avenida Barón de Warsage,170000,3
Piso,Glorieta de Diego Velázquez,99000,3
Chalet,Calle Mayor 69,85000,5
Duplex,Avenida Barón de Warsage,199000,4
Duplex,Avenida Barón de Warsage,156000,2
Piso,Calle del Coso,168000,4
Piso,Calle Dolmen de Tella,175000,3
Chalet,Avenida del Ebro,223000,5
Piso,Calle de Alfonso I,400000,4
Piso,Calle del Valle de Zuriza,169000,4
Chalet,La Joyosa,175000,3
Piso,Picasso 13,96000,2
Piso,agustin,250000,3
Piso,santa lucia,168900,3
Piso,Ronda Campielles,45000,3
Piso,Calle de Gayarre 4,145000,3
Piso,Avenida Barón de Warsage 1,199000,4
Piso,Calle Rincón del Cielo,180000,3
Piso,Calle de Fuendejalón,259000,4
Duplex,Calle Moncayo 2,179000,3
Piso,Calle de Vista Alegre 7,128500,5
Chalet,Calle Mayor 9,108000,1
Piso,Calle de Miguel Servet,106000,2
Piso,Calle Comercio,129000,3
Chalet,Calle Virgen del Puy B,305000,3
Piso,Calle Romerada,139990,3
Chalet,Calle del Chan,99000,1
Chalet,Calle Virgen del Puy B,305000,3
Piso,Calle de Hernán Cortés,449000,5
Piso,Paseo de Fernando el Católico,280000,4
Chalet,Calle Mozota,330000,3
Chalet,Urbanizacion Murallas Santa Fe,269900,5
Chalet,Avenida de la Ilustración,440000,5
Chalet,Calle Don Juan de Lanuza,224000,4
Piso,Calle de Ludwig van Beethoven,195000,4
Chalet,Camino del Plano 42,399000,5
Ático,Calle El Campanile 5,335000,4
Piso,CESAREO ALIERTA 56,219900,3
Piso,viriato,93800,2
Piso,San Miguel,275000,5
Casa Rural,Calle Medio,69000,5
Chalet,Calle Muro,40000,3
Piso,barrio Arrabal,175000,3
Ático,Pasaje de la Vía 7,250000,4
Ático,Calle Ns Sagrada 29,133000,3
Chalet,Paseo de los Melancólicos,70000,2
Piso,Calle Extremadura,119900,2
Piso,Plaza de Aragón,690000,2
