Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,ALFONSA ALBO s/n,32000,2
Piso,Plaza Valdecaleros,135000,3
Piso,Avenida de Santa Bárbara,74990,3
Chalet,Calle Zarza 14,189000,4
Piso,Calle Estafeta Vieja,121800,3
Ático,Travesía del Gato 10,62000,2
Chalet,Plaza Don Quijote 2,239000,4
Piso,Avenida Rufino Rubio 58,128000,2
Piso,Calle Real,99900,2
Piso,Calle Real,99900,2
Piso,Avenida Rufino Rubio 58,128000,2
Chalet,PETRONAS-JAMAICA,111900,5
Chalet,Avenida del Alberche,129900,5
Chalet,VIOLA,69900,1
Piso,Santiago Rusiñol s/n,39900,4
Chalet,Avenida Alcázar de San Juan s/n,199900,5
Chalet,GLORIA FUERTES s/n,179900,4
Chalet,Avenida de Toledo,109900,4
Chalet,Calle Isla de Lanzarote,210000,3
Chalet,Mohedas de la Jara,50000,4
Chalet,Travesía Buenos Aires,170000,4
Chalet,La Guardia,95000,8
Chalet,Palomeque,180000,5
Chalet,C. Andrés Marín,64990,4
Piso,CLAVEL s/n,36400,2
Chalet,Ajofrin,93000,5
Chalet,CAÑO VIEJO 1,47500,4
Chalet,Ugena,227000,4
Piso,Calle Madre Vedruna,78990,3
Piso,Paseo Colombia,60000,3
Chalet,Calle Valencia,199000,3
Chalet,Calle Carahorma G,139900,3
Chalet,Villasequilla,175000,4
Piso,AGUSTINA DE ARAGO s/n,52400,1
Piso,Calle Recas,69900,2
Chalet,Fuensalida,96200,4
Ático,Numancia de la Sagra,114995,2
Piso,bombilla s/n,26000,2
Piso,JUNO s/n,57000,3
Piso,Pozo Amargo 20,139900,6
Casa Rural,Santa Teresa,399000,4
Chalet,Avenida Toledo 1,195000,5
Piso,CONSTITUCION s/n,50100,2
Piso,Avenida De Portugal,169900,4
Casa Rural,Federico Mayo,96000,2
Casa Rural,salve,64900,3
Chalet,Calle Océano atlántico,253000,3
Duplex,GENERAL ASENSIO s/n,48700,2
Piso,paz s/n,79000,3
Piso,CONSTITUCION s/n,50100,2
Piso,Calle tejar,96000,3
Chalet,SAN JUAN s/n,130000,3
Duplex,Camino de Toledo 6,113000,3
Piso,Calle Trinidad s/n,110000,3
Piso,Avenida De Portugal,169900,4
Chalet,Calle Rodrigo de la Fuente,365000,4
Duplex,Calle Hospedería s/n,110000,2
Casa Rural,salve,64900,3
Chalet,Calle Londres s/n,146000,3
Ático,Numancia de la Sagra,114995,2
Chalet,LEON s/n,150000,4
Casa Rural,Santa Teresa,399000,4
Duplex,GENERAL ASENSIO s/n,48700,2
Piso,JUNO s/n,57000,3
Chalet,Avenida Toledo 53,285000,4
Chalet,VALDEPIÑUELA s/n,348000,6
Chalet,Calle de los Rosales 244,340000,4
Chalet,Calle Canario 40,116000,3
Chalet,Madrid 53,230000,5
Chalet,CROACIA s/n,175000,4
Chalet,Calle DISEMINADO,98900,4
Piso,Capitán Luque,59900,3
Piso,ANTONIO SORIA,44900,3
Piso,Calle Carrera,94000,2
Chalet,Calle SANTIAGO s/n,205000,4
Chalet,El Garrigal,66000,3
Piso,Calle Clavel,52500,2
Piso,Calle Clavel,50000,2
Chalet,Calle Ricardo Pelaez,29900,3
Piso,Avenida Rio Alberche 3,75000,3
Chalet,CASTILLO DE PEDRAZA,114900,3
Chalet,Calle Iglesia,75000,3
Chalet,LOS ROBLES,239900,5
Chalet,santa cecilia,129900,4
Piso,ARRABAL SAN LAZARO,56900,1
Piso,Calle Luna,104900,3
Chalet,Calle Río Guadalorce 5,228000,7
Piso,DR MANZANARES,86000,2
Piso,Calle Murillo,105000,2
Piso,Calle Luna,104900,3
Piso,Avenida Castilla-la Mancha,130000,2
Chalet,Avenida Arroyo Virvi 53,279000,9
Chalet,ANDALUCIA,109900,3
Chalet,LOS ROBLES,239900,5
Chalet,santa cecilia,129900,4
Piso,ARRABAL SAN LAZARO,56900,1
Piso,Calle Murillo,105000,2
Chalet,Calle Playa Perelló,109900,4
Chalet,Bajada Colegio Infantes,260000,10
Piso,TARAMONA s/n,35000,3
Chalet,Calle Seseña Nuevo,280000,4
Chalet,Eras,89990,3
Chalet,Cervantes,129900,3
Chalet,Calle prior,79900,4
Piso,Calle la estación,134900,3
Chalet,Ciudad Real,87900,4
Piso,Avenida EUROPA,339990,4
Piso,Señorío de Illescas,189900,4
Piso,Plaza CATALUÑA,124990,4
Piso,pablo neruda,69990,2
Chalet,Pozo Bueno,39900,7
Piso,Almorox,70000,2
Chalet,Villamiel de Toledo,147000,3
Piso,Torrijos,90000,3
Chalet,Calle Talaverilla s/n,85000,3
Chalet,Torrijos,151000,5
Piso,Calle Río Cigüela s/n,79900,3
Chalet,Yuncos,234000,4
Chalet,Calle Yegros,115000,3
Chalet,Torrijos,146000,3
Casa Rural,Los Alcores s/n,85000,1
Chalet,Avenida Malpica de Tajo s/n,67000,4
Chalet,Albarreal de Tajo,114000,4
Chalet,Calle Calera s/n,118000,3
Piso,Calle Retama,95000,3
Chalet,Torrijos,120000,4
Piso,Calle Mariana Pineda,64900,1
Piso,Calle Zona Pintores s/n,145000,4
Chalet,Añover de Tajo,160000,3
Chalet,Calle Antares,233310,4
Chalet,Calle Ocaña,225000,4
Chalet,Avenida Félix Arranz s/n,199000,3
Chalet,Calle Otero,325000,6
Chalet,Avenida Félix Arranz s/n,85000,5
Piso,Calle Valconejo s/n,110000,2
Chalet,Calle Barranco Chico,315000,4
Chalet,Calle José Antonio s/n,179900,5
Chalet,Calle Azores,354999,5
Chalet,Calle Virgen del Consuelo,212000,4
Ático,Calle Real s/n,69900,1
Chalet,Avenida Reyes Catolicos,140000,2
Chalet,Calle Serranillos,350000,3
Chalet,Argés,199900,3
Chalet,Avenida Félix Arranz s/n,139900,5
Chalet,Ajofrin,72000,1
Chalet,Calle Cuenca,206000,4
Piso,Calle José Antonio s/n,129900,3
Chalet,Calle Miguel Hernández,260000,4
Chalet,Calle José Antonio 14,169900,3
Chalet,Calle Miguel Delibes,109999,4
Chalet,Calle José Antonio s/n,159900,3
Chalet,Calle Muñoz Molina,260000,3
Chalet,Cuesta de los Andaluces,280000,4
Chalet,Calle Cazalegas s/n,65000,2
Chalet,Calle José Antonio 14,169900,4
Chalet,Calle de San Antonio,76900,4
Piso,ARROYO ABAJO,35000,2
Chalet,Calle Federico Garcia Lorca,225000,3
Duplex,santa barbara 51,114500,3
Chalet,Calle Juan Pablo II 1,99900,3
Chalet,OBRA,42000,3
Duplex,Calle Grisetas,139000,4
Piso,Paseo de la Rosa,124900,2
Chalet,Camino molino,113000,3
Piso,Carretera de Gerindote s/n,110000,3
Chalet,Calle puerto,79990,4
Chalet,Calle Guadamur,245000,5
Chalet,Calle Cazalegas s/n,69000,6
Chalet,Cuesta Santa Ana,135000,2
Chalet,Calle Juan Pablo II 1,99900,3
Chalet,Calle Guadamur,245000,5
Chalet,Camino molino,113000,3
Chalet,Calle puerto,79990,4
Duplex,Calle Grisetas,139000,4
Chalet,Calle Cerrillo,120000,7
Duplex,Calle Arenal,140000,4
Chalet,Urbanizacion Cerro Alberche,210000,3
Piso,Paseo del Cementerio,117500,3
Piso,Calle ronda,98000,3
Casa Rural,Calle Real,89900,3
Piso,Calle del Tejar,105490,3
Chalet,Covadonga,87900,6
Piso,filipinas,129000,4
Chalet,Calle Petunia,199900,3
Piso,Calle Ramón Corrochano,104000,3
Chalet,Calle Maria Rojas,199900,6
Piso,C. Conde Peromoro,89900,3
Ático,Av. Juan Pablo II,328000,3
Chalet,Calle nueva,25900,3
Piso,Calle Cañada de la Sierra,140000,2
Chalet,Calle Arrabal,130000,3
Piso,Centro,144970,2
Piso,Cobeja,69004,4
Chalet,Villaseca de la Sagra,65000,3
Duplex,Avenida de Madrid,199900,3
Piso,Calle Cardenal Gil de Albornoz,110000,4
Chalet,LA ESTRELLA,80000,4
Chalet,Alameda de la Sagra,95000,3
Chalet,Virgilio Fernández,169900,4
Piso,Villaluenga de la Sagra,119900,2
Chalet,Calle Kaki,259000,3
Piso,Travesía DEL RIO 6,135000,3
Piso,Santa Bárbara,114900,2
Chalet,Calle Huelva,169000,4
Chalet,Cobeja,190000,3
Piso,Parque San Juan Bautista 14,50000,3
Chalet,Escalona,79000,5
Piso,Lepanto,79500,3
Piso,Almagro,83000,3
Piso,Almagro,83000,3
Piso,Parque San Juan Bautista 14,50000,3
Chalet,Calle Periandro,330000,5
Chalet,San Roque,225000,3
Piso,Alberche,67000,2
Chalet,Escalona,79000,5
Chalet,Calle Ontígola,240000,4
Chalet,Cobeja,190000,3
Piso,Lepanto,79500,3
Piso,Calle la Iglesia,45000,5
Chalet,Calle Beato Juan de San Martín,210000,4
Chalet,Avenida Valdecarriches,84000,3
Chalet,Calle extremadura,223000,6
Chalet,Calle MUDARRA,24900,3
Chalet,Calle Roma,45000,2
Chalet,Calle Iglesia s/n,87900,4
Chalet,Avenida del Aguila Real,565000,6
Chalet,Calle Noblejas,179900,4
Chalet,Calle Miguel Fisac,219000,5
Piso,RONDA,125000,3
Piso,Calle Hermanas Esquinas,106900,4
Chalet,extrarradio,124900,4
Piso,Calle Larra,56000,2
Piso,Calle ARENA,34900,3
Piso,Carretera Noblejas,77900,2
Chalet,Calle valencia,199000,3
Chalet,Calle Garcia Diaz Arias s/n,114900,4
Chalet,Calle Andújar,95000,4
Piso,Martires,125000,2
Chalet,Calle Primavera,49900,4
Piso,Calle Larra,56000,2
Chalet,Calle Chequia,239999,3
Piso,Calle Julián de Huelbes,89900,3
Chalet,Tres Olivos - La Piedad,390000,4
Chalet,Calle villafranca del gaytan,79900,3
Chalet,Avenida de los Derechos Humanos,249999,3
Piso,Calle Concha Espina,66000,3
Chalet,CONDE DE CEDILLO,231050,4
Duplex,El Viso de San Juan,140000,3
Piso,parcela R-21 Alameda del Señorío s/n,158178,3
Piso,parcela R-21 Alameda del Señorío s/n,160533,3
Duplex,El Viso de San Juan,140000,3
Piso,Plaza colon,59000,3
Chalet,Calle Feroe,473000,6
Chalet,Camino Erillas,43500,3
Piso,Calle Arroyo Abajo,35000,2
Chalet,C. Valdecorrales 45930 Méntrida Toledo,250000,3
Piso,parcela R-21 Alameda del Señorío s/n,158178,3
Piso,Calle Blanco Tobio,82000,2
Casa Rural,Almorox,39900,2
Piso,Yuncos,133900,3
Casa Rural,Calle Tembleque,43500,4
Chalet,Pepino,120000,2
Piso,parcela R-21 Alameda del Señorío s/n,130722,2
Piso,Calle Arroyo Abajo,31000,1
Piso,Calle de Santa Fe,298500,4
Chalet,Domingo Pérez,109900,4
Piso,Nombela,37999,3
