Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,Calle Romeras,58500,4
Piso,Avenida JUAN DE BORBON 80,345900,3
Piso,HERNAN CORTES,169900,3
Piso,Calle Saavedra Fajardo 2,110000,3
Chalet,Via de Murcia RM 19,780000,4
Chalet,Diseminado Finca Pertiguer 11,990000,7
Chalet,Calle Victoria 3,310000,3
Chalet,La Noria s/n,367500,3
Chalet,Calle huerto del vizconde s/n,125000,3
Chalet,Avenida Reino de Murcia,200000,3
Piso,Calle de Baleares 9,57000,2
Chalet,Boja blanca,167000,3
Piso,Calle Santiago 6,95000,3
Piso,Avenida libertad 1,490000,4
Ático,JUAN PABLO II,199900,4
Piso,Calle Fragata,305000,4
Piso,barrio Santiago el Mayor,179000,1
Piso,Avenida de la Constitución 10,259000,4
Piso,torreaguera,78000,3
Chalet,Calle Mariano Rojas 48,292000,4
Piso,Calle San Luis Gonzaga,57000,2
Piso,barrio San Andrés-San Antolín,490000,5
Chalet,Calle Mayor,100800,3
Piso,barrio Zona Juan de Borbón,175000,1
Chalet,Calle Zafiro 2,355000,3
Piso,barrio Santiago el Mayor,160000,2
Piso,barrio Santiago el Mayor,55000,1
Piso,Calle Agrimensores,137260,3
Piso,Calle de los Rosaos s/n,120000,1
Piso,barrio San Pedro,135000,1
Chalet,Calle Zafiro 2,355000,3
Piso,Calle de los Rosaos s/n,170000,2
Piso,Avenida Ciudad Sanitaria 3,280500,4
Piso,Calle de los Rosaos s/n,265000,3
Piso,barrio San Pedro,160000,2
Piso,Calle Princesa,310000,4
Piso,Calle los Rosaos s/n,85000,1
Piso,barrio Sucina,91000,2
Piso,barrio Santiago el Mayor,122000,3
Piso,barrio San Miguel,210000,3
Piso,barrio El Palmar,290000,3
Piso,barrio Ronda Sur,165000,2
Ático,Calle los Rosaos s/n,130000,1
Piso,Calle los Rosaos s/n,115000,1
Piso,barrio San Lorenzo,420000,5
Piso,barrio Santiago el Mayor,115000,2
Duplex,Vereda Jurisdiccion,96000,3
Piso,Plaza de la Iglesia,95000,3
Ático,barrio San Ginés,155000,3
Piso,Calle Rambla,86540,3
Chalet,Carril Los Leales Arboleja s/n,649999,6
Piso,Avenida de San Javier 78,54800,3
Piso,Calle Adelfas,108900,4
Chalet,barrio Vistabella,480000,5
Piso,Calle Jara Carrillo 37,115000,2
Piso,Calle Ericas,61900,2
Chalet,Ronda Del Golf 114,158500,3
Chalet,Calle Rosario 80,120000,4
Chalet,Diseminado Carril Navarros,380000,5
Piso,Calle Sargento Ángel Tornel,214900,3
Chalet,Carril Merino,469000,4
Duplex,Calle Brachichito,259000,4
Chalet,Calle Zona 1C Este de Aljucer,249900,6
Piso,Avenida Antonio Martínez Guirao,329990,3
Chalet,Calle Esperanza,109900,4
Piso,Plaza del Cardenal Belluga,890000,3
Piso,Calle San Jose,114000,2
Piso,Calle Sargento Ángel Tornel,214900,3
Chalet,Diseminado Carril Navarros,380000,5
Duplex,Calle Infanta Cristina 13,270000,4
Chalet,Calle Esperanza,109900,4
Chalet,Calle de la Plata,359000,5
Estudio,Calle José García Martínez s/n,695000,0
Piso,Calle Jose Maluquer Y Salvador,139000,3
Ático,barrio Catedral,554600,2
Duplex,Calle Hortelanos s/n,590000,6
Chalet,Travesía San Javier 1,1850000,4
Piso,Avenida Río Madera  s/n,401000,4
Duplex,Calle JUNCO s/n,155000,4
Piso,Carril de la Parada,141000,3
Ático,Calle MALECON 4,141200,3
Casa Rural,Carril Acequia Nueva,149900,5
Chalet,Calle del Enebro,649000,5
Duplex,Calle Brachichito,259000,4
Chalet,Carril Merino,469000,4
Piso,Calle Nueva de San Antón s/n,167000,2
Piso,Calle Amberes,179900,3
Piso,barrio Santa Eulalia,149000,2
Piso,Calle Ángel,189000,3
Piso,barrio San Nicolás,245000,3
Piso,Calle Comunidad 37,182000,3
Piso,Calle plateria s/n,235000,1
Chalet,Camino Vie Jo de Fortuna,238000,3
Piso,Calle Ángel,168900,3
Piso,Plaza Circular,495000,5
Ático,barrio Santa Eulalia,320000,4
Chalet,Avenida Majal Blanco 114,220000,4
Chalet,Calle pintor pedro cano 22,155900,4
Chalet,Severo Ochoa 20,230000,4
Piso,Calle Santa Catalina,160000,1
Chalet,Calle MAYOR,375000,3
Ático,barrio Zona Juan Carlos I,310000,2
Chalet,Calle Molineros 47,146000,3
Ático,Calle Comunidad,240000,3
Piso,barrio El Carmen,187000,4
Piso,Calle Pintor Sobejano,189900,4
Chalet,Calle Molineros 47,146000,3
Ático,Calle Comunidad,240000,3
Piso,Calle Comunidad 37,182000,3
Piso,barrio El Carmen,187000,4
Ático,Carretera Fuente Álamo 73,159999,4
Piso,Calle Laredo,295000,4
Piso,San Anton 1,167000,2
Chalet,Calle Miguel Gallego Alcaraz,340000,7
Piso,Calle MADRE TERESA DE CALCUTA,239900,2
Piso,Calle Lirios 3,150000,3
Chalet,Valle del Sol,159500,3
Piso,Calle Pintor Sobejano,189900,4
Piso,Ramón Gallud,115000,3
Piso,Camino Viejo Monteagudo,295000,4
Piso,barrio Santa Eulalia,95000,1
Chalet,Jilguero s/n,450000,4
Ático,barrio Santa Eulalia,320000,4
Duplex,Calle Infanta Cristina,230000,4
Chalet,Severo Ochoa 20,230000,4
Duplex,Calle Pintor Saura Pacheco,229900,3
Chalet,Camino Vie Jo de Fortuna,238000,3
Piso,Calle Floridablanca,255000,3
Ático,barrio Zona Juan Carlos I,310000,2
Piso,Avenida Libertad,325000,4
Piso,Avenida Huerto de San Blas 26,169000,3
Piso,Avenida Europa 16,380000,4
Piso,Calle Cine Viejo 8,75500,4
Piso,Calle Ortosa,120000,2
Piso,barrio La Purísima-Barriomar,90000,3
Chalet,Plaza Canto 2,315000,4
Duplex,barrio Zona Juan de Borbón,426000,4
Ático,Avenida de San Javier 19,151000,3
Piso,barrio Sucina,79000,2
Piso,barrio La Flota,234000,3
Piso,barrio Vista Alegre,259000,3
Piso,barrio Santa María de Gracia,410000,4
Piso,Avenida San Ginés 33,112000,3
Chalet,868350786,barrio Vista Alegre,426000
Piso,Calle Jerónimo de Roda 1,260000,2
Piso,barrio Santo Ángel,169500,3
Piso,barrio Sucina,67200,2
Piso,Avenida Juan Carlos I 77,84900,1
Piso,barrio Santo Ángel,169500,3
Piso,barrio El Carmen,255000,3
Ático,barrio Algezares,138500,2
Chalet,barrio Santo Ángel,959900,5
Estudio,Calle Desamparados 19,119500,0
Piso,Calle Jerónimo de Roda 1,260000,2
Chalet,barrio Santo Ángel,395000,4
Chalet,barrio El Palmar,835000,3
Piso,Calle Ramón Gallud 6,126400,2
Duplex,Calle Jardín 30,123900,3
Chalet,barrio Corvera,73000,3
Piso,barrio La Flota,180000,4
Piso,Calle Ramón Gallud 6,133000,2
Chalet,arqutecto jaime bort 6,210000,4
Chalet,barrio La Alberca,590000,4
Piso,Calle Morera 5,125000,3
Chalet,Carretera San Javier,730000,3
Chalet,barrio Baños y Mendigo,420000,4
Chalet,Calle Jara Carrillo,180000,3
Chalet,barrio Baños y Mendigo,865000,4
Piso,Calle Entierro de la Sardina,125000,3
Chalet,Camino de los Montoyas,295000,2
Piso,San Roque,62000,3
Chalet,barrio Llano de Brujas,388000,3
Piso,Cuartel de Artilleria,110000,3
Chalet,Carretera de los Polvorines,250000,7
Chalet,barrio Baños y Mendigo,695000,3
Chalet,Calle Retama 1,430000,3
Chalet,Carril Bartolo,149990,4
Piso,barrio Zarandona,130000,2
Chalet,Avenida Cresta del Gallo,599000,3
Piso,Calle Virgen del Carmen,75000,3
Duplex,Calle Laurel,89990,2
Piso,Ronda Norte,223000,3
Casa Rural,Calle Nuestra Señora del Carmen,198000,4
Chalet,Camino Viejo de San Gines s/n,563000,4
Chalet,barrio San Benito-Progreso,548000,5
Chalet,Avenida de Los Maestros,285000,5
Piso,Calle Obispo Frutos,250000,3
Piso,barrio San Pedro,669000,6
Chalet,barrio Zarandona,395000,4
Chalet,Avenida de Los Maestros,285000,5
Chalet,barrio Sangonera la Verde,114993,2
Chalet,Camino Viejo de San Gines s/n,563000,4
Piso,barrio Zona Juan de Borbón,215000,2
Piso,Calle de la Peña,81000,2
Piso,Calle paloma,166000,3
Chalet,barrio San Benito-Progreso,548000,5
Ático,barrio El Carmen,770000,6
Piso,Ronda Norte,223000,3
Piso,barrio Zona Juan Carlos I,370000,3
Piso,Calle de la Peña,78000,2
Chalet,barrio La Alberca,590000,4
Casa Rural,Calle Nuestra Señora del Carmen,198000,4
Piso,barrio Zona Juan Carlos I,530000,4
Chalet,Travesía San Javier 1,1850000,4
Ático,Calle José Luján,92000,3
Ático,Avenida Río Segura,350000,2
Piso,Avenida Juan Carlos I,225000,3
Piso,Calle Isidoro de la Cierva,360000,5
Piso,plateria,235000,1
Piso,barrio Beniaján,40000,3
Piso,Calle Alejandro Seiquer,420000,5
Piso,Avenida Juan Carlos I,225000,3
Piso,barrio El Carmen,115000,3
Chalet,barrio Sangonera la Seca,249000,3
Piso,barrio La Ñora,110000,2
Chalet,barrio El Esparragal,276000,3
Piso,barrio Zona Juan de Borbón,185000,2
Piso,Avenida Juan de Borbón s/n,174200,1
Piso,Avenida del Rector José Loustau,270000,3
Piso,Avenida Juan de Borbón s/n,233000,2
Piso,federico garcia lorca s/n,88000,1
Piso,Avenida Juan de Borbón s/n,356400,3
Piso,Calle Jaime I el Conquistador,439000,4
Piso,Calle Santo Cristo Salud 39,174900,4
Ático,barrio Churra,189000,3
Chalet,Avenida de los pinos,275000,4
Piso,federico garcia lorca s/n,88000,1
Chalet,barrio El Esparragal,276000,3
Piso,barrio San Nicolás,160000,2
Piso,barrio Sangonera la Seca,115500,3
Chalet,Calle Nuestra Señora de Cortes,178000,4
Estudio,Avenida Juan Carlos I,129000,0
Piso,Carretera san javier 19,97600,3
Duplex,Avenida de la Marina Española s/n,413019,4
Piso,Calle General Prim,122000,3
Piso,Calle Jorge Manrique,189000,3
Chalet,Calle Mayor 8,20000,2
Piso,Calle Auditorium,335000,4
Piso,Calle Pilar,183000,2
Piso,Gran Vía Alfonso X el Sabio,239000,2
Chalet,barrio Cañadas de San Pedro,498600,4
Piso,barrio Ronda Sur,195000,3
