Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Cañada de la Vizana 26,72000,2.0
Piso,Calle Fuentelarreina,135000,2.0
Chalet,Avenida el Ferial 98,185000,4.0
Casa Rural,Fragua 11,45000,5.0
Piso,Avenida Maragatos Benavente 50,59500,4.0
Ático,Avenida el Ferial 81,118000,2.0
Chalet,Calle de Nuestra Señora de las Mercedes,60000,4.0
Piso,Avenida León 41,65000,3.0
Piso,Calle Benavente,45000,2.0
Chalet,Calle la Iglesia 4,42000,4.0
Piso,Ronda de la Florida 8 -28,90000,3.0
Piso,Avenida el Ferial 159,50000,3.0
Casa Rural,BALAS 42,59000,3.0
Piso,Plaza del Grano 11,40000,4.0
Piso,Calle de las Eras 32,100000,4.0
Piso,Calle de los Carros 49,79000,3.0
Piso,Pedro Valdivia 2,109900,3.0
Chalet,Calle Estrella 3,70000,5.0
Piso,LAGARES 16,90000,4.0
Piso,san vicente 5,110000,3.0
Chalet,Calle Estrella 3,70000,5.0
Piso,Avenida EL FERIAL 42,65000,4.0
Piso,Avenida LUIS MORAN 4,52000,2.0
Piso,N-630 41,150000,4.0
Piso,Avenida Maragatos,48200,3.0
Chalet,SANTA ROSA 15,120000,3.0
Piso,Calle la Mota 16,135000,3.0
Chalet,ZAMORA 8,71000,5.0
Piso,Avenida el ferial 126,100000,5.0
Piso,MATADERO 5,142000,4.0
Chalet,BARRERO s/n,195000,4.0
Piso,SANTA CLARA 87,89900,4.0
Casa Rural,Calle Sombrero 4,75000,5.0
Piso,CARBAJES 7,85000,3.0
Chalet,pravia 23,126000,4.0
Chalet,San Gregorio 10,195000,4.0
Chalet,ZA-114 1,129000,3.0
Piso,CAÑADA LA VIZANA 20,75000,3.0
Chalet,pinar 1,120000,4.0
Casa Rural,POL 501 PARCELA 5698 AL TAMARAL s/n,130000,2.0
Casa Rural,Calle Barrio Triana 15,270000,14.0
Chalet,Benavente,59000,4.0
Piso,Calle de Santa Clara 8,240000,4.0
Piso,LIBERTAD 15,59000,3.0
Chalet,Ronda de la Florida 19,110000,4.0
Chalet,Carretera 7,149000,7.0
Piso,Plaza SANTA MARIA 2,80000,3.0
Chalet,Tamaral 19,135000,3.0
Piso,Avenida LEON 6,40000,3.0
Chalet,SANTO DOMINGO 10,186000,4.0
Chalet,Calle D. Andres Cid 5,170000,4.0
Casa Rural,N-630 281,450000,5.0
Piso,ZARCERO 1,68000,3.0
Ático,Avenida EL FERIAL 15,90000,3.0
Piso,Pasaje SAN NICOLAS 6,90000,3.0
Piso,LAGARES 16,119000,4.0
Casa Rural,Olmillos de Castro 4,49000,6.0
Piso,Avenida EL FERIAL 72,93000,4.0
Chalet,San Gregorio 10,195000,4.0
Chalet,Carretera 7,149000,7.0
Casa Rural,Carretera Almaraz,190000,4.0
Piso,Calle Ángel Nieto,73000,3.0
Chalet,Bajada Barriada Asturias 3,69000,3.0
Piso,Calle Campo de Marte,62000,4.0
Piso,santo,80000,3.0
Chalet,Villaralbo,125000,3.0
Chalet,Calle PRINCIPAL 7 DS,90000,4.0
Chalet,Villaralbo,125000,3.0
Piso,PORTILLO SAN ANDRES 13,90000,3.0
Chalet,Villaralbo,130000,3.0
Piso,Calle Churruca 62,150000,4.0
Piso,Calle Jose Vidal s/n,63500,3.0
Casa Rural,rinconada,150000,4.0
Chalet,El Perdigon,250000,4.0
Piso,Avenida del Príncipe de Asturias,85000,3.0
Casa Rural,Calle Eras 1,47000,3.0
Piso,Calle de la Libertad 36,55000,3.0
Casa Rural,carretera 15,65000,3.0
Casa Rural,Carbellino,119900,3.0
Chalet,Calle Molino,19500,3.0
Piso,Calle de Núñez de Balboa 14,89000,4.0
Chalet,Calle Marcha Paralela,92000,3.0
Casa Rural,Calle Tejar,22200,3.0
Chalet,Camino de la Lobata,250000,3.0
Piso,Calle de Fuenlabrada,109000,3.0
Chalet,Carretera torregamones 9,125000,4.0
Chalet,CL-527,330000,8.0
Casa Rural,Calle de la iglesia 6,52000,5.0
Chalet,Calle Corralón,189000,3.0
Chalet,San Blas,67000,3.0
Ático,Ronda MADRID,120000,2.0
Chalet,marquesa de villachica 15,86000,3.0
Chalet,Monfarracinos,139000,4.0
Piso,Calle Alcalá Galiano,85000,3.0
Piso,Calle Corredera 51,90000,3.0
Piso,Avenida Luis Moran,94900,3.0
Piso,Calle Argentina,140000,4.0
Piso,Cuesta del Hospital,60000,3.0
Chalet,Toro,12600,3.0
Chalet,Peleas de Abajo,125000,3.0
Piso,Cuesta del Hospital,60000,3.0
Casa Rural,Carretera Barrio Villagodio,145000,4.0
Casa Rural,Juan Carlos I,85000,4.0
Casa Rural,Calle San Roque,56000,4.0
Piso,Calle Del Amor de Dios,90000,2.0
Piso,Avenida requejo,155000,4.0
Casa Rural,Arroyo,73000,2.0
Casa Rural,Plaza,37000,2.0
Piso,Calle Diego de Ordax,167500,3.0
Chalet,Costanilla de Valladolid 3,77000,4.0
Chalet,Mayas,124000,4.0
Casa Rural,las arenas,150000,3.0
Piso,Manuel Fernandez,55000,3.0
Chalet,Calle Caedero,190000,3.0
Piso,Calle San Andres,140000,4.0
Piso,Calle Requejo,200000,4.0
Casa Rural,Puebla,31000,5.0
Chalet,Calle de Guimaré,239000,4.0
Casa Rural,Benavente s/n,27000,1.0
Piso,Avenida de Víctor Gallego,280000,4.0
Casa Rural,Calle Villar,64000,3.0
Casa Rural,Cruz Vieja,35000,4.0
Piso,traviesa,145000,3.0
Casa Rural,cristo,44000,3.0
Casa Rural,Calle Cumbre,65000,3.0
Chalet,Calle Luis de Gongora,139000,2.0
Casa Rural,Avenida ERICAS 14,65000,5.0
Casa Rural,Carretera Fonfria,57000,5.0
Piso,Calle Granados,85000,3.0
Ático,Ensanche,400000,5.0
Casa Rural,CARBALLEDA- EL REINO - s/n,130000,4.0
Piso,San José Obrero,138000,4.0
Chalet,Calle Don José Hernández Juan 1,400000,7.0
Chalet,Aurora,144000,4.0
Piso,PARQUE LEON FELIPE,153000,4.0
Duplex,Calle San Torcuato 12,259000,5.0
Piso,Calle de Candelaria Ruiz del Arbol,88000,3.0
Chalet,Corrales,75000,3.0
Chalet,Aurora,144000,4.0
Chalet,Calle Garcia de la Serna 4,90000,3.0
Chalet,Calle D. Andres Cid,139000,4.0
Piso,Plaza de la Encomienda 7,55000,3.0
Piso,Calle Peña Trevinca 12,87000,4.0
Chalet,Calle Río Valderaduey 4,38000,3.0
Chalet,Calle Puentecella 24,410000,5.0
Duplex,Las Vegas s/n,180000,4.0
Chalet,Plaza Belén,178000,2.0
Piso,Puerta Nueva,145000,3.0
Duplex,Costanilla 14,260000,4.0
Chalet,Calle Carretera s/n,87600,3.0
Piso,Calle Blas de Otero,79000,3.0
Chalet,Calle Pajitas,166000,4.0
Piso,Calle de Balborraz,43000,3.0
Chalet,Corrales,58000,6.0
Chalet,La Hiniesta,95000,4.0
Piso,Avenida Maragatos s/n,102200,3.0
Chalet,Calle Toro,119000,3.0
Piso,Calle Regimiento de Toledo s/n,85900,4.0
Chalet,Río Aliste,293000,4.0
Chalet,Calle Río Aliste,293000,3.0
Piso,Avenida del Príncipe de Asturias,172000,4.0
Piso,El Riego s/n,110000,3.0
Piso,Avenida de Portugal s/n,35800,2.0
Piso,Calle de Diego de Losada,145000,3.0
Chalet,Calle Agustín Vázquez,114600,3.0
Ático,Calle Doctor Viilalobos,139000,3.0
Piso,Cuesta Morana,72000,3.0
Chalet,Calle Inquines,125000,4.0
Chalet,Calle Calvario s/n,85000,3.0
Chalet,Calle Don Manuel s/n,46700,4.0
Piso,Calle Pontevedra 8,68000,4.0
Chalet,Calle Callostra 13,7000,2.0
Piso,La Candelaria,145000,3.0
Chalet,Toro,237890,4.0
Piso,Calle Ramón Álvarez,129000,4.0
Chalet,Merida,190000,4.0
Piso,Calle Mirasierra s/n,71600,3.0
Chalet,Calle Toro,119000,3.0
Piso,Cuesta Morana,72000,3.0
Piso,Calle Monforte,180000,1.0
Chalet,Calle Agustín Vázquez,114600,3.0
Piso,Calle de Carbajes 3,28000,3.0
Piso,Benavente,55000,3.0
Piso,Calle Del Amor de Dios 13,129000,3.0
Piso,Calle Doctor Olivares,79000,4.0
Piso,Calle Benavente,195000,4.0
Piso,Calle Amor de Dios,129000,3.0
Piso,Calle Pablo Morillo,249000,3.0
Piso,Calle Ramón Álvarez,129000,4.0
Chalet,Los Bloques,300000,7.0
Piso,Calle de Arapiles,138000,2.0
Duplex,Fuenlabrada,170000,4.0
Piso,Avenida del Príncipe de Asturias,172000,3.0
Chalet,Calle Isidro Cabezas,65000,6.0
Casa Rural,Puebla de Sanabria,500000,8.0
Casa Rural,Calle de arriba,87500,4.0
Chalet,Calle Río Duero,155250,6.0
Chalet,Morales del Vino,230000,3.0
Ático,Avenida de Valladolid,149500,4.0
Piso,Benavente,52000,4.0
Piso,Calle Cortinas San Miguel,150000,2.0
Duplex,Avenida de Requejo,180000,4.0
Piso,Calle de Santa Clara,240000,4.0
Piso,Cañada de la Vizana 80,65000,2.0
Casa Rural,Morales de Rey,79000,3.0
Piso,Calle Cortinas San Miguel,100000,1.0
Chalet,Coreses,249000,4.0
Piso,Avenida de Leopoldo Alas Clarín,465000,4.0
Chalet,Calle Río Esla 18,45000,4.0
Chalet,Pasaje de las Guindas 2,250000,6.0
Chalet,Calle San Felix 20,63500,3.0
Piso,Plaza del Grano 11,45000,3.0
Chalet,Calle de los Tejares 3,120000,2.0
Piso,Calle Cortinas San Miguel,96000,1.0
Chalet,Calle Eras Del Caño 98,49000,4.0
Piso,Calle Federico García Lorca 3,35000,3.0
Chalet,Calle Juan de Luna,120000,2.0
Piso,La Candelaria,110000,3.0
Piso,Calle San Blas,67000,2.0
Chalet,San Ramón 12,225000,3.0
Piso,Calle la Unión 7,105000,3.0
Piso,Calle Santa Clara 33,105000,2.0
Chalet,Cuesta del Portillo de San Andrés 5,32000,4.0
Casa Rural,Rúa 4,50000,5.0
Piso,Calle de los Lagares 15,65000,3.0
Duplex,Barrio Pinilla,99000,2.0
Casa Rural,Calle Escobal 17,45000,5.0
Piso,Calle la Herradura 30,75000,3.0
Piso,herreros 26,97000,3.0
Piso,Las Vegas - La Feria,65000,3.0
Ático,Calle Juan de Montejo,68000,2.0
