"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Cantabria","Piso en Silvestre Ochoa, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/101231364/","399,000 €","3 hab. 110 m² Planta 1ª exterior con ascensor","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende espectacular y luminosa vivienda de 3 habitaciones con 2 TERRAZAS y VISTAS AL MAR y a la PLAYA DE OSTENDE, en Urbanizació",""
"Cantabria","Casa o chalet independiente en Brazomar La Loma, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/101866556/","335,000 €","3 hab. 200 m²","***EXCLUSIVA INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende amplio chalet independiente RODEADO DE NATURALEZA de 3 habitaciones con zona exterior de 350 m2, con posibilida",""
"Cantabria","Piso en arciseri, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/100535405/","245,000 €","3 hab. 110 m² Bajo exterior con ascensor","***EXCLUSIVA INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende amplia vivienda de 3 habitaciones con TERRAZA y GARAJE en zona de Cotolino en una bonita Urbanización de Castro",""
"Cantabria","Piso en julio romero garmendia, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/98029730/","273,000 €","2 hab. 85 m² Planta 2ª exterior con ascensor","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende amplia vivienda de 2 habitaciones con VISTAS DESPEJADAS, ORIENTACIÓN SUR-ESTE, con 2 TERRAZAS y GARAJE CERRADO. Ubicado e",""
"Cantabria","Chalet adosado en Barrio Prado, Samano, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria//inmueble/98997360/","410,000 €","4 hab. 250 m²","***EXCLUSIVA INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende fantástico chalet AMUEBLADO con AMPLIO JARDÍN con TERRAZA en la zona de Sámano, en la urbanización el Prado, en",""
"Cantabria","Piso en julio romero garmendia, Cotolino, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/98029730/","273,000 €","2 hab. 85 m² Planta 2ª exterior con ascensor","***INMOBILIARIAS. COM*** SU INMOBILIARIA DE CONFIANZA EN CASTRO URDIALES vende amplia vivienda de 2 habitaciones con VISTAS DESPEJADAS, ORIENTACIÓN SUR-ESTE, con 2 TERRAZAS y GARAJE CERRADO. Ubicado e","Vistas al mar"
"Cantabria","Piso en calle la Costa, Tregadín, Noja","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/98777287/","239,900 €","2 hab. 68 m² Planta 3ª exterior con ascensor","KSA13 inmobiliaria (Ref. 1840) ofrece a la venta este espectacular ático con vistas a la playa de Trengandin. El inmueble de unos 69m2 se distribuye en un amplio salon-comedor, una cocina independient","Vistas al mar"
"Cantabria","Piso en calle República de Colombia, Zona Playa, Laredo","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/102247912/","139,000 €","3 hab. 75 m² Planta 8ª exterior con ascensor","EXCLUSIVA! . Les presentamos este inmueble ubicado en un residencial privado con parking comunitario, zonas verdes y conserje durante todo el año. Dispone de tres amplios dormitorios, baño completo, c","Apartamento"
"Cantabria","Piso en Centro, Laredo","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/101928751/","150,000 €","3 hab. 79 m² Planta 2ª exterior con ascensor","LAREDO CENTRO - 3 HABITACIONES - ORIENTACIÓN SUR - TERRAZA - ASCENSOR COTA CERO - Os presentamos este piso en el centro de Laredo, con todos los servicios necesarios a su disposición (centro de salud,","Vistas al mar"
"Cantabria","Piso en calle Hernán Cortés, 45, Puerto Chico, Santander","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/97596832/","650,000 €","4 hab. 186 m² Planta 2ª exterior con ascensor","Elegante propiedad en una de las zonas más exclusivas de Puerto Chico, a pocos pasos del Paseo Pereda, Centro Botín y el Real Club Marítimo de Santander, un auténtico lujo para los más privilegiados y","Lujo"
